Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.114593,-0.056811,-1.40315,792.628,640.191,93.7837
2,0,-0.131409,-0.0618953,-1.40165,792.848,640.385,94.6686
3,0,-0.153166,-0.0465839,-1.40523,792.858,640.833,95.1547
4,0,-0.0107764,0.00270715,-1.39162,793.183,639.686,86.9912
5,0,0.0109615,-0.0130296,-1.39076,793.054,640.032,87.5958
6,0,0.00272288,-0.00859352,-1.39134,793.142,639.808,87.264
7,0,0.0181754,-0.0270737,-1.39289,793.516,639.642,86.6959
8,0,0.0193486,-0.0289527,-1.39302,793.504,639.689,86.7021
9,0,0.0195288,-0.0285691,-1.39287,793.51,639.647,86.6817
10,0,-0.00375365,-0.00565224,-1.39142,793.2,639.581,86.7792
11,0,-0.00241329,-0.00687259,-1.39152,793.178,639.55,86.8145
12,0,-0.0100423,0.00248367,-1.39157,793.178,639.658,87.0107
13,0,-0.00958098,0.00122684,-1.39155,793.169,639.699,87.0729
14,0,-0.00326475,-0.00604675,-1.39129,793.189,639.557,86.8276
15,0,-0.0021032,-0.00745167,-1.39144,793.224,639.574,86.7817
16,0,-0.00227044,-0.00729237,-1.39142,793.191,639.573,86.7899
17,0,-0.0108781,0.00296607,-1.3916,793.174,639.683,87.0127
18,0,-0.00928154,0.00125519,-1.39155,793.177,639.697,86.969
19,0,-0.00354548,-0.00611795,-1.39153,793.194,639.573,86.7999
20,0,-0.00346957,-0.0061438,-1.39151,793.189,639.555,86.8174
21,0,-0.00877584,0.00127513,-1.39115,793.205,639.699,86.9521
22,0,0.00310825,-0.00860485,-1.39143,793.25,639.78,87.1654
23,0,0.000659638,-0.00245652,-1.39115,793.057,640.146,87.8252
24,0,-0.00322619,-0.00191498,-1.39151,793.172,639.942,87.4976
25,0,0.0180571,-0.0270816,-1.39298,793.515,639.635,86.6823
26,0,0.0195904,-0.0285683,-1.39296,793.52,639.67,86.681
27,0,0.0194926,-0.0284785,-1.39283,793.513,639.663,86.6963
28,0,0.0199973,-0.0292548,-1.39296,793.522,639.657,86.6554
29,0,0.0193698,-0.0283916,-1.39297,793.519,639.645,86.671
30,0,0.0195005,-0.0287403,-1.39285,793.521,639.642,86.6761
31,0,0.0207946,-0.0296795,-1.39273,793.498,639.649,86.6622
32,0,0.0044106,-0.00952011,-1.39145,793.233,639.763,87.1982
33,0,0.0236744,-0.0286663,-1.39043,793.166,639.815,87.1539
34,0,-0.00990492,0.00678019,-1.39121,793.184,640.048,87.6768
35,0,-0.00845942,0.00450689,-1.39164,793.148,639.989,87.6737
36,0,-0.0029479,-0.00143194,-1.39113,793.193,639.918,87.4803
37,0,0.0181112,-0.027176,-1.39298,793.513,639.644,86.6951
38,0,0.018322,-0.0278054,-1.39277,793.491,639.638,86.7457
39,0,0.0304939,-0.0369673,-1.39188,793.399,639.794,86.8611
40,0,-0.003602,-0.00614855,-1.3915,793.195,639.576,86.7822
41,0,-0.0104131,0.00235203,-1.39153,793.183,639.702,86.9938
42,0,-0.00818675,0.000312023,-1.39154,793.183,639.692,87.014
43,0,-8.68278e-05,-0.00907778,-1.39142,793.203,639.58,86.7865
44,0,-0.00199684,-0.00759691,-1.39138,793.175,639.56,86.7855
45,0,-0.00387589,-0.0055926,-1.39165,793.17,639.56,86.8207
46,0,-0.003,-0.00656914,-1.39133,793.187,639.569,86.7819
47,0,-0.00932157,0.00150537,-1.3915,793.185,639.693,86.9883
