Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
53,0,4.80593e-05,0.00422591,-1.70734,-13.5787,1026.91,96.7705,,,,,,,,,,,,,,,,,,
54,0,0.000163401,0.00313733,-1.70697,-13.6349,1027.06,96.7432,,,,,,,,,,,,,,,,,,
55,0,0.00021248,0.00344049,-1.70696,-13.6186,1027.05,96.736,,,,,,,,,,,,,,,,,,
56,0,-0.00341059,0.00968544,-1.70683,-13.6417,1026.94,96.89,,,,,,,,,,,,,,,,,,
57,0,0.000571585,0.00330918,-1.70696,-13.6313,1027.05,96.7638,,,,,,,,,,,,,,,,,,
58,0,0.000812168,0.00242601,-1.70705,-13.6032,1027.06,96.7305,,,,,,,,,,,,,,,,,,
59,0,0.000282017,0.00329971,-1.70699,-13.6162,1027.05,96.7407,,,,,,,,,,,,,,,,,,
60,0,0.00140358,0.00180963,-1.70702,-13.609,1027.05,96.716,,,,,,,,,,,,,,,,,,
61,0,4.47171e-05,0.00371853,-1.70704,-13.6128,1027.05,96.7726,,,,,,,,,,,,,,,,,,
62,0,-0.000391634,0.00393634,-1.70696,-13.606,1027.05,96.764,,,,,,,,,,,,,,,,,,
63,0,2.17637e-05,0.00451574,-1.70746,-13.5558,1026.9,96.8145,,,,,,,,,,,,,,,,,,
64,0,-0.000173159,0.00380305,-1.70705,-13.6082,1027.04,96.7832,,,,,,,,,,,,,,,,,,
65,0,-0.00356821,0.00990469,-1.70665,-13.6607,1026.94,96.9194,,,,,,,,,,,,,,,,,,
66,0,0.00212894,0.000947821,-1.70711,-13.592,1027.03,96.7292,,,,,,,,,,,,,,,,,,
67,0,-0.00153159,0.00651109,-1.70731,-13.5804,1026.89,96.8085,,,,,,,,,,,,,,,,,,
68,0,-4.70748e-05,0.00381896,-1.70695,-13.6002,1027.05,96.7621,,,,,,,,,,,,,,,,,,
69,0,-0.00255862,0.00861096,-1.70682,-13.6478,1026.94,96.885,,,,,,,,,,,,,,,,,,
70,0,0.000225002,0.00311881,-1.70698,-13.6155,1027.03,96.7361,,,,,,,,,,,,,,,,,,
71,0,0.00062772,0.00278249,-1.70713,-13.6138,1027.04,96.7374,,,,,,,,,,,,,,,,,,
72,0,0.000409495,0.00304467,-1.70723,-13.6102,1027.06,96.7335,,,,,,,,,,,,,,,,,,
73,0,0.000906304,0.00229596,-1.70714,-13.5984,1027.03,96.7317,,,,,,,,,,,,,,,,,,
74,0,8.47161e-05,0.0034805,-1.70701,-13.6152,1027.05,96.7397,,,,,,,,,,,,,,,,,,
75,0,-0.00352722,0.0101266,-1.70672,-13.6634,1026.94,96.8912,,,,,,,,,,,,,,,,,,
76,0,-0.00410397,0.0107912,-1.70678,-13.6625,1026.92,96.8846,,,,,,,,,,,,,,,,,,
77,0,0.000833604,0.00271997,-1.70701,-13.6171,1027.03,96.7658,,,,,,,,,,,,,,,,,,
78,0,0.000409022,0.00293059,-1.70703,-13.601,1027.05,96.7567,,,,,,,,,,,,,,,,,,
79,0,0.00116095,0.00235457,-1.70706,-13.6064,1027.05,96.7317,,,,,,,,,,,,,,,,,,
80,0,0.00142762,0.00199137,-1.70706,-13.6028,1027.04,96.7617,,,,,,,,,,,,,,,,,,
81,0,-0.00128875,0.00603009,-1.70734,-13.5809,1026.9,96.801,,,,,,,,,,,,,,,,,,
82,0,0.00108794,0.00204826,-1.7069,-13.6161,1027.05,96.7341,,,,,,,,,,,,,,,,,,
83,0,-0.000475016,0.00408205,-1.70699,-13.6083,1027.03,96.7427,,,,,,,,,,,,,,,,,,
84,0,0.000676537,0.00263522,-1.70698,-13.5935,1027.06,96.7356,,,,,,,,,,,,,,,,,,
85,0,0.000760164,0.0027734,-1.70702,-13.6145,1027.05,96.7677,,,,,,,,,,,,,,,,,,
86,0,0.000552057,0.00280848,-1.70704,-13.5858,1027.05,96.767,,,,,,,,,,,,,,,,,,
87,0,0.0010769,0.00243746,-1.70707,-13.6039,1027.05,96.7609,,,,,,,,,,,,,,,,,,
88,0,-0.00312653,0.00939115,-1.70677,-13.653,1026.96,96.9043,,,,,,,,,,,,,,,,,,
89,0,0.000344415,0.0033956,-1.707,-13.609,1027.05,96.743,,,,,,,,,,,,,,,,,,
90,0,0.000342649,0.00316178,-1.70703,-13.5893,1027.06,96.7476,,,,,,,,,,,,,,,,,,
91,0,0.000274201,0.00335007,-1.70711,-13.5969,1027.04,96.7395,,,,,,,,,,,,,,,,,,
92,0,-0.0038343,0.0103967,-1.7067,-13.6549,1026.92,96.9188,,,,,,,,,,,,,,,,,,
93,0,0.000830603,0.00245921,-1.70693,-13.6078,1027.03,96.7529,,,,,,,,,,,,,,,,,,
94,0,0.000634407,0.00249718,-1.7071,-13.6021,1027.05,96.7154,,,,,,,,,,,,,,,,,,
95,0,0.000374952,0.0031284,-1.7071,-13.6115,1027.05,96.7363,,,,,,,,,,,,,,,,,,
96,0,0.000647798,0.00290229,-1.70702,-13.6138,1027.05,96.741,,,,,,,,,,,,,,,,,,
97,0,-0.000601417,0.00429423,-1.70709,-13.5974,1027.03,96.7566,,,,,,,,,,,,,,,,,,
98,0,-0.000443331,0.00409481,-1.70717,-13.5915,1027.05,96.7598,,,,,,,,,,,,,,,,,,
99,0,0.00149119,0.00155595,-1.70703,-13.6039,1027.04,96.712,,,,,,,,,,,,,,,,,,
100,0,0.000301831,0.00288831,-1.70696,-13.5969,1027.05,96.7005,,,,,,,,,,,,,,,,,,
101,0,0.00077303,0.00280755,-1.7071,-13.5929,1027.06,96.765,,,,,,,,,,,,,,,,,,
102,0,-0.0012413,0.00560479,-1.707,-13.6273,1027.04,96.7857,,,,,,,,,,,,,,,,,,
103,0,-0.000111195,0.00384978,-1.70704,-13.6244,1027.01,96.7839,,,,,,,,,,,,,,,,,,
104,0,0.000600749,0.00311534,-1.70698,-13.6292,1027.02,96.7857,,,,,,,,,,,,,,,,,,
105,0,-0.000319393,0.00414058,-1.70715,-13.5978,1027.02,96.7896,,,,,,,,,,,,,,,,,,
106,0,0.00127118,0.00197019,-1.70709,-13.587,1027.04,96.7427,,,,,,,,,,,,,,,,,,
107,0,-0.00370208,0.0103232,-1.70655,-13.6751,1026.93,96.8893,,,,,,,,,,,,,,,,,,
108,0,0.00012894,0.00346613,-1.70706,-13.604,1027.05,96.7641,,,,,,,,,,,,,,,,,,
109,0,-0.000374541,0.00418362,-1.70702,-13.5874,1027.05,96.7443,,,,,,,,,,,,,,,,,,
110,0,0.000652152,0.00288499,-1.70704,-13.5927,1027.02,96.7531,,,,,,,,,,,,,,,,,,
111,0,0.00108859,0.00245941,-1.70693,-13.6102,1027.05,96.7349,,,,,,,,,,,,,,,,,,
112,0,0.00064003,0.0024915,-1.70709,-13.6149,1027.05,96.7276,,,,,,,,,,,,,,,,,,
113,0,0.000448547,0.00279766,-1.70702,-13.6092,1027.04,96.7542,,,,,,,,,,,,,,,,,,
114,0,3.38884e-05,0.00359265,-1.70701,-13.5954,1027.04,96.7553,,,,,,,,,,,,,,,,,,
115,0,-0.000250553,0.00388089,-1.70699,-13.6179,1027.05,96.7539,,,,,,,,,,,,,,,,,,
116,0,0.000611379,0.00321411,-1.70701,-13.6179,1027.04,96.7497,,,,,,,,,,,,,,,,,,
117,0,0.00025114,0.00320569,-1.70697,-13.6103,1027.02,96.7707,,,,,,,,,,,,,,,,,,
118,0,-0.0028253,0.00898621,-1.70672,-13.6539,1026.94,96.9198,,,,,,,,,,,,,,,,,,
119,0,-0.000416965,0.00451676,-1.70689,-13.6143,1027.02,96.7764,,,,,,,,,,,,,,,,,,
120,0,0.000350463,0.00305291,-1.70703,-13.6137,1027.04,96.7047,,,,,,,,,,,,,,,,,,
121,0,0.00133302,0.00142886,-1.7071,-13.5967,1027.07,96.7093,,,,,,,,,,,,,,,,,,
122,0,-0.00391451,0.0105742,-1.70681,-13.6663,1026.94,96.8979,,,,,,,,,,,,,,,,,,
123,0,-0.00286728,0.00909494,-1.7068,-13.6634,1026.95,96.8911,,,,,,,,,,,,,,,,,,
124,0,0.000826271,0.00301369,-1.70696,-13.6293,1027.04,96.7562,,,,,,,,,,,,,,,,,,
125,0,-4.11183e-05,0.00353761,-1.70705,-13.6184,1027.05,96.7501,,,,,,,,,,,,,,,,,,
126,0,0.000458336,0.00284191,-1.70696,-13.6072,1027.03,96.7277,,,,,,,,,,,,,,,,,,
127,0,9.21768e-05,0.00363099,-1.707,-13.6088,1027.03,96.7495,,,,,,,,,,,,,,,,,,
128,0,0.00124122,0.00173578,-1.70707,-13.6044,1027.04,96.7409,,,,,,,,,,,,,,,,,,
129,0,0.000867688,0.00274264,-1.70702,-13.6047,1027.03,96.7407,,,,,,,,,,,,,,,,,,
130,0,-0.00416376,0.0107471,-1.70666,-13.6699,1026.94,96.9198,,,,,,,,,,,,,,,,,,
131,0,-0.000665104,0.00449049,-1.70707,-13.6034,1027.03,96.765,,,,,,,,,,,,,,,,,,
132,0,0.0052749,-0.00505191,-1.70718,-13.6053,1027.26,96.5407,,,,,,,,,,,,,,,,,,
133,0,-0.00329838,0.00796179,-1.70706,-13.6236,1027.04,96.7331,,,,,,,,,,,,,,,,,,
134,0,0.00100193,0.00244762,-1.70694,-13.6064,1027.05,96.7421,,,,,,,,,,,,,,,,,,
135,0,0.000585753,0.00305134,-1.707,-13.5992,1027.05,96.7526,,,,,,,,,,,,,,,,,,
136,0,-0.000465189,0.00426822,-1.70701,-13.6244,1027.05,96.7738,,,,,,,,,,,,,,,,,,
137,0,-0.000156183,0.00387991,-1.70705,-13.6124,1027.06,96.7645,,,,,,,,,,,,,,,,,,
138,0,0.000145587,0.00385029,-1.70697,-13.6197,1027.03,96.7776,,,,,,,,,,,,,,,,,,
139,0,2.1477e-05,0.0036728,-1.70699,-13.6209,1027.03,96.7543,,,,,,,,,,,,,,,,,,
140,0,0.000662091,0.00280728,-1.70702,-13.6032,1027.03,96.7574,,,,,,,,,,,,,,,,,,
141,0,0.000544806,0.00309012,-1.70699,-13.6099,1027.03,96.753,,,,,,,,,,,,,,,,,,
142,0,-0.000463217,0.00397659,-1.70712,-13.5918,1027.03,96.7437,,,,,,,,,,,,,,,,,,
143,0,0.00110167,0.00222454,-1.70705,-13.5984,1027.04,96.7209,,,,,,,,,,,,,,,,,,
144,0,8.97615e-05,0.00369778,-1.70702,-13.6104,1027.05,96.7431,,,,,,,,,,,,,,,,,,
145,0,-1.97687e-05,0.00373625,-1.70702,-13.6204,1027.05,96.7408,,,,,,,,,,,,,,,,,,
146,0,0.000559741,0.0029391,-1.70703,-13.6083,1027.04,96.7364,,,,,,,,,,,,,,,,,,
147,0,0.000659861,0.00273382,-1.70713,-13.5959,1027.05,96.7201,,,,,,,,,,,,,,,,,,
148,0,-0.000223845,0.0038836,-1.70692,-13.6209,1027.03,96.7389,,,,,,,,,,,,,,,,,,
149,0,0.00011641,0.00412022,-1.707,-13.6183,1027.05,96.7717,,,,,,,,,,,,,,,,,,
150,0,0.000744499,0.00260572,-1.70819,-13.4668,1026.98,96.7538,,,,,,,,,,,,,,,,,,
151,0,3.80764e-05,0.00363826,-1.707,-13.6066,1027.03,96.7717,,,,,,,,,,,,,,,,,,
152,0,0.000152352,0.00356573,-1.70685,-13.6275,1027,96.7521,,,,,,,,,,,,,,,,,,
153,0,-5.17337e-06,0.00325041,-1.70696,-13.6065,1027.05,96.7382,,,,,,,,,,,,,,,,,,
