Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.0219439,-0.0215181,-1.37009,797.927,961.332,87.2672
2,0,-0.000614932,0.00390812,-1.36973,797.66,961.73,88.0471
3,0,0.00326283,8.57013e-05,-1.36974,797.74,961.63,87.9624
4,0,0.00484319,-0.00106814,-1.36982,797.749,961.62,87.9232
5,0,0.00407782,-0.000505738,-1.36986,797.722,961.571,87.9681
6,0,0.00352998,-0.000475921,-1.36977,797.734,961.626,87.9085
7,0,0.00292014,-9.37595e-05,-1.36977,797.744,961.62,87.9281
8,0,0.00280236,0.00021225,-1.36985,797.731,961.61,87.9584
9,0,0.00606137,-0.00231185,-1.37024,797.84,961.648,87.9877
10,0,0.00345209,-3.56551e-05,-1.36975,797.741,961.601,87.9449
11,0,0.00411242,-0.000972635,-1.37011,797.749,961.602,87.962
12,0,0.00992328,-0.00597018,-1.37016,797.809,961.654,87.9287
13,0,0.00124552,0.00172366,-1.37006,797.758,961.654,87.9479
14,0,0.00455069,-0.000935297,-1.3699,797.733,961.613,87.9103
15,0,0.00450825,-0.000833981,-1.36988,797.734,961.62,87.9235
16,0,0.00128232,0.0007708,-1.36914,797.807,961.57,87.9843
17,0,0.0048523,-0.00175755,-1.36993,797.763,961.668,87.9205
18,0,0.00426843,-0.00112376,-1.36998,797.756,961.636,87.9092
19,0,0.00226355,0.00134615,-1.3698,797.67,961.753,88.0458
20,0,0.00438665,-0.00104045,-1.37009,797.764,961.601,87.9625
21,0,0.00592212,-0.00253238,-1.36985,797.754,961.626,87.9314
22,0,0.00449146,-0.00102746,-1.36996,797.75,961.617,87.9415
23,0,0.00161391,0.00196155,-1.36997,797.686,961.768,87.9981
24,0,0.00707265,-0.00311926,-1.37017,797.756,961.806,88.0191
25,0,0.00437872,-0.00058218,-1.36992,797.757,961.635,87.926
26,0,0.00404646,-0.000448267,-1.36985,797.758,961.625,87.9412
27,0,0.00290449,0.000893817,-1.36963,797.735,961.613,87.9108
28,0,0.00308325,0.000400888,-1.36973,797.747,961.634,87.9383
29,0,0.0031939,8.75388e-05,-1.36998,797.748,961.611,87.9278
30,0,0.00270821,0.00110811,-1.36981,797.672,961.767,88.0241
31,0,0.00396257,-0.000678831,-1.37016,797.74,961.603,87.9217
32,0,0.00362687,-0.000235812,-1.36955,797.742,961.622,87.8938
33,0,0.0037005,3.25579e-06,-1.36997,797.729,961.604,87.9552
34,0,0.00352757,0.000262038,-1.36975,797.737,961.603,87.952
35,0,0.0034616,-0.000233436,-1.36992,797.735,961.621,87.9894
36,0,0.00303252,0.000339035,-1.36982,797.757,961.636,87.9149
37,0,0.00503558,-0.00179057,-1.36986,797.758,961.634,87.9164
38,0,0.00367163,-0.000357247,-1.3698,797.654,961.757,88.0277
39,0,0.00326138,-0.000260065,-1.3699,797.751,961.619,87.9363
40,0,0.00744382,-0.00356916,-1.37012,797.835,961.641,87.9529
41,0,0.00640759,-0.00270724,-1.37018,797.822,961.651,87.9713
42,0,0.005365,-0.00195636,-1.36996,797.758,961.65,87.9255
43,0,0.00500707,-0.00180185,-1.37006,797.75,961.617,87.9747
44,0,0.0036963,-6.67806e-05,-1.3697,797.657,961.736,88.0237
45,0,0.00324488,0.000448879,-1.36978,797.67,961.733,88.0173
46,0,0.00223406,0.0010301,-1.3699,797.747,961.639,87.8833
47,0,0.00356904,-0.000323912,-1.36995,797.735,961.613,87.9146
48,0,0.00454722,-0.00150616,-1.36977,797.749,961.619,87.9156
49,0,0.00427147,-0.000986439,-1.36978,797.753,961.604,87.9318
50,0,0.00400433,-0.000752115,-1.36993,797.759,961.649,87.9253
51,0,0.00578598,-0.00222835,-1.37022,797.85,961.667,87.9262
52,0,0.0063268,-0.00245483,-1.37027,797.823,961.641,87.9012
53,0,0.00267162,0.000361626,-1.37006,797.752,961.675,87.9005
54,0,0.00427972,-0.00107712,-1.37003,797.745,961.621,87.926
55,0,0.00416811,-0.000597348,-1.36966,797.737,961.593,87.9576
56,0,0.00717094,-0.00285646,-1.36999,797.756,961.8,88.0368
57,0,0.000869352,0.00175746,-1.37003,797.735,961.628,87.9113
58,0,0.00281632,0.000895145,-1.36976,797.656,961.721,88.0469
59,0,0.00437093,-0.000812618,-1.36992,797.74,961.64,87.9461
60,0,0.00117727,0.00215105,-1.36999,797.756,961.639,87.9429
61,0,0.00354699,0.000104868,-1.36972,797.731,961.615,87.9343
62,0,0.00365476,-0.000784751,-1.37018,797.752,961.643,87.9525
63,0,0.00336106,-0.00019058,-1.36967,797.735,961.605,87.953
64,0,0.0021781,0.00134679,-1.36949,797.672,961.79,88.0071
65,0,0.00467153,-0.00104571,-1.36971,797.751,961.591,87.9594
66,0,0.00372071,-0.000216158,-1.36979,797.738,961.621,87.9391
67,0,0.00209563,0.00138319,-1.36974,797.668,961.763,88.0409
68,0,0.00926042,-0.00497239,-1.37013,797.818,961.611,87.9718
69,0,0.00369345,-0.000489054,-1.36981,797.724,961.617,87.9243
70,0,0.00381272,-0.000346936,-1.36965,797.736,961.61,87.9392
71,0,0.00289962,-5.69555e-05,-1.36984,797.729,961.609,87.9252
72,0,0.00448969,-0.00129543,-1.3698,797.738,961.616,87.8635
73,0,0.00362622,-4.07537e-05,-1.37,797.744,961.623,87.9624
74,0,0.00333523,-3.44024e-05,-1.3699,797.762,961.634,87.9274
75,0,0.00310049,-0.000261263,-1.37002,797.725,961.647,87.887
76,0,0.00400838,-0.000678271,-1.3698,797.731,961.593,87.9131
77,0,0.00267164,0.000471635,-1.36991,797.73,961.592,87.9361
78,0,0.0049196,-0.00114494,-1.36987,797.753,961.616,87.9328
79,0,0.00449536,-0.0010152,-1.36984,797.737,961.658,87.9041
80,0,0.000946304,0.00189723,-1.36985,797.73,961.63,87.9326
81,0,0.0023487,0.00112373,-1.36969,797.671,961.759,88.0222
82,0,0.00388202,-0.000432916,-1.36974,797.746,961.602,87.9541
83,0,0.0032419,0.000306849,-1.36969,797.763,961.635,87.9287
84,0,0.00379885,-0.000727452,-1.36989,797.768,961.626,87.9105
85,0,0.00218629,0.00112778,-1.36987,797.661,961.757,88.008
86,0,0.00512729,-0.00171073,-1.36987,797.743,961.597,87.9454
87,0,0.00613873,-0.00231459,-1.37008,797.847,961.643,87.9734
88,0,0.00433748,-0.000732101,-1.36981,797.748,961.655,87.9346
89,0,0.00362571,7.26732e-05,-1.3697,797.731,961.627,87.9265
90,0,0.00338312,0.000350965,-1.36973,797.748,961.612,87.9643
91,0,0.00506488,-0.00155961,-1.36993,797.756,961.626,87.9006
92,0,0.00456266,-0.00136427,-1.36992,797.737,961.609,87.8996
93,0,0.002716,0.000302881,-1.36989,797.727,961.615,87.9037
94,0,0.00459049,-0.00102113,-1.36959,797.748,961.619,87.9085
95,0,0.00349093,-0.00021414,-1.36981,797.737,961.642,87.9202
96,0,0.00311731,0.000204676,-1.36988,797.752,961.623,87.9125
97,0,0.00594306,-0.00273685,-1.36998,797.742,961.584,87.9216
98,0,0.00220085,0.00136488,-1.36968,797.722,961.604,87.9153
99,0,0.00293644,0.000547267,-1.36991,797.754,961.613,87.9377
100,0,0.00321202,0.000164302,-1.36969,797.751,961.607,87.934
101,0,0.000744195,0.00239445,-1.36988,797.748,961.617,87.9074
102,0,0.00311054,0.000274089,-1.36991,797.734,961.598,87.9476
103,0,0.00123218,0.00171472,-1.36987,797.671,961.736,88.0072
104,0,0.00300667,3.12841e-05,-1.37001,797.75,961.614,87.906
105,0,0.00243004,0.00111975,-1.36977,797.726,961.572,87.9547
106,0,0.00469472,-0.00113276,-1.36997,797.757,961.648,87.9188
107,0,0.000810817,0.00241549,-1.36986,797.661,961.749,88.0169
108,0,0.0031322,-0.000224516,-1.36974,797.729,961.571,87.9505
109,0,0.00304375,0.000399432,-1.36989,797.739,961.623,87.9378
110,0,0.00085994,0.00117135,-1.36908,797.781,961.561,87.9643
111,0,0.00491696,-0.00132546,-1.36996,797.749,961.609,87.9275
112,0,0.00437849,-0.000895019,-1.37021,797.765,961.648,87.9061
113,0,0.00182047,0.00156779,-1.36991,797.674,961.757,87.9994
114,0,0.001266,0.00266179,-1.36947,797.653,961.745,87.9808
115,0,0.00723182,-0.00327817,-1.37021,797.849,961.653,87.9257
116,0,0.00185361,0.00125369,-1.3698,797.715,961.595,87.9295
117,0,0.00301132,4.84864e-05,-1.36978,797.741,961.645,87.9118
118,0,0.00243984,0.00160376,-1.36983,797.685,961.753,88.0397
119,0,0.00461312,-0.000482448,-1.36946,797.748,961.582,87.9197
120,0,0.00525594,-0.00152312,-1.36973,797.729,961.58,87.9049
