Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,2.52663,1.73621,-0.149481,256.631,-1499.37,75.6321,,,,,,,,,,,,,,,,,,
2,0,2.51626,1.73109,-0.137554,256.595,-1499.47,75.7052,,,,,,,,,,,,,,,,,,
3,0,2.52579,1.73586,-0.150892,256.588,-1499.37,75.5589,,,,,,,,,,,,,,,,,,
4,0,0.0376437,0.015507,1.63931,254.353,-1497.68,81.6311,,,,,,,,,,,,,,,,,,
5,0,0.0530449,0.0278279,1.63983,254.437,-1497.55,81.3223,,,,,,,,,,,,,,,,,,
6,0,0.0386054,0.0162687,1.63929,254.361,-1497.7,81.6318,,,,,,,,,,,,,,,,,,
7,0,0.05348,0.0285884,1.63978,254.417,-1497.53,81.312,,,,,,,,,,,,,,,,,,
8,0,0.0521759,0.0265881,1.64006,254.446,-1497.57,81.3285,,,,,,,,,,,,,,,,,,
9,0,0.0520757,0.0267668,1.64,254.428,-1497.54,81.309,,,,,,,,,,,,,,,,,,
10,0,0.0389728,0.0164794,1.63919,254.359,-1497.69,81.6262,,,,,,,,,,,,,,,,,,
11,0,0.0550922,0.0279415,1.64078,254.349,-1497.56,81.3432,,,,,,,,,,,,,,,,,,
12,0,0.0384956,0.0146883,1.64032,254.273,-1497.66,81.7068,,,,,,,,,,,,,,,,,,
13,0,0.053708,0.0278058,1.6397,254.42,-1497.55,81.2763,,,,,,,,,,,,,,,,,,
14,0,0.0378139,0.0154133,1.63934,254.364,-1497.7,81.6446,,,,,,,,,,,,,,,,,,
15,0,0.0387527,0.0168009,1.63927,254.35,-1497.7,81.6355,,,,,,,,,,,,,,,,,,
16,0,0.0543101,0.0287511,1.63951,254.433,-1497.56,81.2378,,,,,,,,,,,,,,,,,,
17,0,0.0501774,0.0251394,1.63978,254.439,-1497.54,81.3061,,,,,,,,,,,,,,,,,,
18,0,0.0548548,0.0292645,1.63984,254.399,-1497.55,81.2605,,,,,,,,,,,,,,,,,,
19,0,0.039299,0.017166,1.63911,254.341,-1497.7,81.6564,,,,,,,,,,,,,,,,,,
20,0,0.0388173,0.0162922,1.63942,254.353,-1497.7,81.634,,,,,,,,,,,,,,,,,,
21,0,0.0539973,0.0289427,1.63972,254.44,-1497.56,81.3065,,,,,,,,,,,,,,,,,,
22,0,0.0392219,0.0165816,1.63902,254.306,-1497.68,81.5979,,,,,,,,,,,,,,,,,,
23,0,0.054867,0.0293598,1.63977,254.406,-1497.55,81.2593,,,,,,,,,,,,,,,,,,
24,0,0.052558,0.0274079,1.63984,254.415,-1497.54,81.3075,,,,,,,,,,,,,,,,,,
25,0,0.0372044,0.014538,1.63941,254.381,-1497.7,81.6336,,,,,,,,,,,,,,,,,,
26,0,0.0393852,0.0164636,1.63957,254.35,-1497.68,81.648,,,,,,,,,,,,,,,,,,
27,0,0.0545532,0.0290063,1.63961,254.4,-1497.56,81.283,,,,,,,,,,,,,,,,,,
28,0,0.0381379,0.0144229,1.64031,254.27,-1497.68,81.7227,,,,,,,,,,,,,,,,,,
29,0,0.0534118,0.0281016,1.64001,254.43,-1497.54,81.2829,,,,,,,,,,,,,,,,,,
30,0,0.051593,0.0260899,1.63984,254.442,-1497.54,81.2894,,,,,,,,,,,,,,,,,,
31,0,0.0522024,0.0268278,1.63997,254.454,-1497.55,81.2964,,,,,,,,,,,,,,,,,,
32,0,0.0391838,0.0168023,1.63936,254.331,-1497.69,81.6709,,,,,,,,,,,,,,,,,,
33,0,0.0382006,0.0157081,1.63926,254.36,-1497.7,81.6614,,,,,,,,,,,,,,,,,,
34,0,0.0569829,0.0292162,1.64164,254.464,-1497.34,81.2428,,,,,,,,,,,,,,,,,,
35,0,0.0570745,0.0309625,1.64028,254.509,-1497.36,81.1786,,,,,,,,,,,,,,,,,,
36,0,0.0567852,0.0302381,1.64051,254.519,-1497.34,81.1726,,,,,,,,,,,,,,,,,,
37,0,0.0372222,0.0145875,1.63926,254.369,-1497.7,81.6425,,,,,,,,,,,,,,,,,,
38,0,0.0531488,0.0278235,1.6399,254.431,-1497.53,81.3192,,,,,,,,,,,,,,,,,,
39,0,0.0384094,0.0161194,1.63927,254.371,-1497.71,81.6276,,,,,,,,,,,,,,,,,,
40,0,0.0529689,0.0264161,1.64085,254.343,-1497.53,81.3849,,,,,,,,,,,,,,,,,,
41,0,0.0383149,0.0164063,1.63901,254.343,-1497.69,81.6416,,,,,,,,,,,,,,,,,,
42,0,0.0530493,0.0277839,1.63988,254.433,-1497.53,81.3081,,,,,,,,,,,,,,,,,,
43,0,0.0511912,0.0257296,1.63991,254.43,-1497.54,81.3059,,,,,,,,,,,,,,,,,,
44,0,0.0532448,0.0274121,1.63984,254.411,-1497.55,81.2705,,,,,,,,,,,,,,,,,,
45,0,0.0541993,0.028518,1.63951,254.404,-1497.57,81.2847,,,,,,,,,,,,,,,,,,
46,0,0.0517757,0.026767,1.63973,254.441,-1497.55,81.3135,,,,,,,,,,,,,,,,,,
47,0,0.0522607,0.0268848,1.63984,254.42,-1497.54,81.3303,,,,,,,,,,,,,,,,,,
48,0,0.0387343,0.0164951,1.63919,254.357,-1497.7,81.6462,,,,,,,,,,,,,,,,,,
49,0,0.0536679,0.0282528,1.63993,254.451,-1497.55,81.3024,,,,,,,,,,,,,,,,,,
50,0,0.052181,0.0269704,1.63986,254.422,-1497.54,81.299,,,,,,,,,,,,,,,,,,
51,0,0.0386075,0.0162211,1.63929,254.372,-1497.7,81.6359,,,,,,,,,,,,,,,,,,
52,0,0.052863,0.0274492,1.63979,254.402,-1497.55,81.2754,,,,,,,,,,,,,,,,,,
53,0,0.0380746,0.0156934,1.63913,254.377,-1497.7,81.6374,,,,,,,,,,,,,,,,,,
54,0,0.0385957,0.0160009,1.63925,254.377,-1497.7,81.6608,,,,,,,,,,,,,,,,,,
55,0,0.0531961,0.0279088,1.63976,254.428,-1497.53,81.312,,,,,,,,,,,,,,,,,,
56,0,0.0520999,0.0267455,1.63989,254.446,-1497.55,81.3082,,,,,,,,,,,,,,,,,,
57,0,0.0524177,0.0269261,1.64017,254.439,-1497.55,81.3005,,,,,,,,,,,,,,,,,,
58,0,0.0517926,0.0265884,1.63962,254.453,-1497.54,81.2868,,,,,,,,,,,,,,,,,,
59,0,0.0381279,0.0158044,1.63933,254.358,-1497.69,81.6692,,,,,,,,,,,,,,,,,,
60,0,0.0545805,0.0292428,1.64001,254.466,-1497.54,81.3016,,,,,,,,,,,,,,,,,,
61,0,0.0376504,0.0155778,1.63923,254.372,-1497.69,81.6394,,,,,,,,,,,,,,,,,,
62,0,0.0385963,0.0161494,1.63909,254.342,-1497.7,81.6484,,,,,,,,,,,,,,,,,,
63,0,0.0541928,0.0291904,1.6398,254.463,-1497.56,81.2696,,,,,,,,,,,,,,,,,,
64,0,0.0389611,0.0167546,1.63914,254.356,-1497.68,81.6471,,,,,,,,,,,,,,,,,,
65,0,0.0528636,0.0274309,1.64007,254.419,-1497.54,81.3433,,,,,,,,,,,,,,,,,,
66,0,0.0522445,0.0272004,1.63959,254.431,-1497.55,81.3037,,,,,,,,,,,,,,,,,,
67,0,0.0524689,0.0269826,1.63994,254.443,-1497.55,81.28,,,,,,,,,,,,,,,,,,
68,0,0.0521473,0.0264383,1.64009,254.433,-1497.57,81.3045,,,,,,,,,,,,,,,,,,
69,0,0.0521907,0.0273066,1.63963,254.43,-1497.55,81.3224,,,,,,,,,,,,,,,,,,
70,0,0.0512137,0.0259624,1.63973,254.424,-1497.55,81.3373,,,,,,,,,,,,,,,,,,
71,0,0.051945,0.0265948,1.63988,254.431,-1497.53,81.3059,,,,,,,,,,,,,,,,,,
72,0,0.0387329,0.0163398,1.6395,254.322,-1497.68,81.6524,,,,,,,,,,,,,,,,,,
73,0,0.0395342,0.0170024,1.63927,254.363,-1497.7,81.6317,,,,,,,,,,,,,,,,,,
74,0,0.039063,0.0165318,1.63928,254.329,-1497.68,81.6547,,,,,,,,,,,,,,,,,,
75,0,0.0540623,0.0281977,1.64,254.403,-1497.52,81.3145,,,,,,,,,,,,,,,,,,
76,0,0.051215,0.0262771,1.6398,254.426,-1497.55,81.3188,,,,,,,,,,,,,,,,,,
77,0,0.0391454,0.0168411,1.63932,254.354,-1497.69,81.6397,,,,,,,,,,,,,,,,,,
78,0,0.0523016,0.0267069,1.63998,254.436,-1497.54,81.319,,,,,,,,,,,,,,,,,,
79,0,0.0373542,0.0150571,1.63932,254.348,-1497.68,81.6357,,,,,,,,,,,,,,,,,,
80,0,0.0540431,0.0286269,1.63982,254.431,-1497.55,81.3042,,,,,,,,,,,,,,,,,,
81,0,0.0384905,0.0162339,1.63926,254.341,-1497.68,81.6484,,,,,,,,,,,,,,,,,,
82,0,0.0384413,0.0145759,1.6404,254.294,-1497.67,81.6933,,,,,,,,,,,,,,,,,,
83,0,0.0393795,0.016751,1.63938,254.355,-1497.69,81.6408,,,,,,,,,,,,,,,,,,
84,0,0.0545896,0.0292015,1.6398,254.426,-1497.54,81.3157,,,,,,,,,,,,,,,,,,
85,0,0.0569693,0.0306509,1.64047,254.508,-1497.35,81.1987,,,,,,,,,,,,,,,,,,
86,0,0.0584301,0.0318087,1.64033,254.516,-1497.36,81.1753,,,,,,,,,,,,,,,,,,
87,0,0.0381062,0.0154877,1.63885,254.328,-1497.71,81.6129,,,,,,,,,,,,,,,,,,
88,0,0.0400797,0.0178153,1.63885,254.302,-1497.68,81.5837,,,,,,,,,,,,,,,,,,
89,0,0.0543452,0.0290106,1.63957,254.393,-1497.57,81.2866,,,,,,,,,,,,,,,,,,
90,0,0.0388721,0.0161649,1.63934,254.35,-1497.7,81.6421,,,,,,,,,,,,,,,,,,
91,0,0.0551773,0.0280512,1.64073,254.338,-1497.54,81.3331,,,,,,,,,,,,,,,,,,
92,0,0.0386647,0.0148868,1.6403,254.273,-1497.68,81.7305,,,,,,,,,,,,,,,,,,
93,0,0.0542249,0.0271267,1.64112,254.367,-1497.53,81.3743,,,,,,,,,,,,,,,,,,
94,0,0.0508816,0.0255122,1.63996,254.447,-1497.56,81.3019,,,,,,,,,,,,,,,,,,
95,0,0.0377771,0.0151294,1.63942,254.32,-1497.67,81.6499,,,,,,,,,,,,,,,,,,
96,0,0.053822,0.0281351,1.64006,254.437,-1497.55,81.2949,,,,,,,,,,,,,,,,,,
97,0,0.051874,0.0268078,1.63997,254.424,-1497.54,81.3219,,,,,,,,,,,,,,,,,,
98,0,0.0512293,0.0259315,1.63979,254.396,-1497.55,81.3405,,,,,,,,,,,,,,,,,,
99,0,0.0517324,0.0265046,1.63996,254.415,-1497.55,81.3238,,,,,,,,,,,,,,,,,,
100,0,0.0511951,0.025723,1.63996,254.402,-1497.54,81.3139,,,,,,,,,,,,,,,,,,
101,0,0.0528949,0.0277143,1.63971,254.404,-1497.52,81.3206,,,,,,,,,,,,,,,,,,
102,0,0.0526028,0.0271182,1.63987,254.433,-1497.55,81.3036,,,,,,,,,,,,,,,,,,
103,0,0.0512684,0.0261326,1.63992,254.432,-1497.54,81.2919,,,,,,,,,,,,,,,,,,
104,0,0.0529775,0.0278181,1.63958,254.444,-1497.56,81.3159,,,,,,,,,,,,,,,,,,
105,0,0.0520001,0.0267946,1.63979,254.413,-1497.54,81.3115,,,,,,,,,,,,,,,,,,
106,0,0.0370539,0.014976,1.63944,254.339,-1497.67,81.6451,,,,,,,,,,,,,,,,,,
107,0,0.053333,0.0278309,1.63977,254.422,-1497.55,81.3172,,,,,,,,,,,,,,,,,,
108,0,0.0523487,0.0268304,1.63997,254.412,-1497.54,81.2952,,,,,,,,,,,,,,,,,,
109,0,0.0511287,0.0260528,1.64001,254.455,-1497.55,81.2927,,,,,,,,,,,,,,,,,,
110,0,0.0519679,0.0267167,1.6399,254.414,-1497.54,81.3175,,,,,,,,,,,,,,,,,,
111,0,0.0518015,0.0270734,1.63953,254.435,-1497.55,81.2695,,,,,,,,,,,,,,,,,,
112,0,0.0386511,0.0159048,1.6393,254.368,-1497.69,81.6138,,,,,,,,,,,,,,,,,,
113,0,0.0532286,0.027994,1.63988,254.409,-1497.53,81.318,,,,,,,,,,,,,,,,,,
114,0,0.0521403,0.0267771,1.64,254.424,-1497.54,81.3013,,,,,,,,,,,,,,,,,,
115,0,0.0384661,0.0159604,1.63923,254.371,-1497.7,81.6217,,,,,,,,,,,,,,,,,,
116,0,0.0374541,0.0151607,1.6395,254.358,-1497.69,81.6378,,,,,,,,,,,,,,,,,,
117,0,0.0535453,0.0280841,1.63991,254.456,-1497.56,81.2798,,,,,,,,,,,,,,,,,,
118,0,0.0513476,0.0259932,1.63988,254.43,-1497.55,81.289,,,,,,,,,,,,,,,,,,
119,0,0.0517706,0.026589,1.64005,254.413,-1497.56,81.3275,,,,,,,,,,,,,,,,,,
120,0,0.039293,0.0165782,1.63915,254.313,-1497.69,81.6,,,,,,,,,,,,,,,,,,
121,0,0.0543256,0.0290846,1.6396,254.45,-1497.57,81.2878,,,,,,,,,,,,,,,,,,
122,0,0.0517666,0.0265584,1.63988,254.421,-1497.55,81.3126,,,,,,,,,,,,,,,,,,
123,0,0.051259,0.0259888,1.63985,254.432,-1497.56,81.3137,,,,,,,,,,,,,,,,,,
124,0,0.0526347,0.0273816,1.63985,254.449,-1497.55,81.2954,,,,,,,,,,,,,,,,,,
125,0,0.0515977,0.0264864,1.63979,254.441,-1497.55,81.3042,,,,,,,,,,,,,,,,,,
126,0,0.052465,0.0272378,1.63968,254.448,-1497.56,81.3083,,,,,,,,,,,,,,,,,,
127,0,0.039659,0.0171971,1.63917,254.375,-1497.71,81.6421,,,,,,,,,,,,,,,,,,
128,0,0.0380454,0.0156567,1.63939,254.361,-1497.69,81.6271,,,,,,,,,,,,,,,,,,
129,0,0.0549832,0.0289579,1.63983,254.381,-1497.55,81.2676,,,,,,,,,,,,,,,,,,
130,0,0.0516517,0.0263731,1.63976,254.428,-1497.56,81.3028,,,,,,,,,,,,,,,,,,
131,0,0.0517346,0.0262661,1.64,254.45,-1497.56,81.3036,,,,,,,,,,,,,,,,,,
132,0,0.0520815,0.0266579,1.63997,254.458,-1497.55,81.2979,,,,,,,,,,,,,,,,,,
133,0,0.0392591,0.0169596,1.63901,254.348,-1497.69,81.6345,,,,,,,,,,,,,,,,,,
134,0,0.0526509,0.0270613,1.63988,254.45,-1497.55,81.2779,,,,,,,,,,,,,,,,,,
135,0,0.0546057,0.0290693,1.63958,254.377,-1497.54,81.2763,,,,,,,,,,,,,,,,,,
136,0,0.0393517,0.0172198,1.63917,254.35,-1497.68,81.636,,,,,,,,,,,,,,,,,,
137,0,0.0535566,0.0280586,1.63978,254.44,-1497.56,81.299,,,,,,,,,,,,,,,,,,
138,0,0.0524861,0.0273721,1.63979,254.445,-1497.54,81.2823,,,,,,,,,,,,,,,,,,
139,0,0.0512529,0.0259066,1.63992,254.432,-1497.57,81.2997,,,,,,,,,,,,,,,,,,
140,0,0.0519416,0.0263699,1.64009,254.408,-1497.54,81.3124,,,,,,,,,,,,,,,,,,
141,0,0.0510276,0.0257367,1.63972,254.441,-1497.55,81.2876,,,,,,,,,,,,,,,,,,
142,0,0.038183,0.0159381,1.63905,254.372,-1497.68,81.625,,,,,,,,,,,,,,,,,,
143,0,0.0402001,0.0176359,1.63931,254.395,-1497.69,81.6146,,,,,,,,,,,,,,,,,,
144,0,0.038716,0.0164794,1.63915,254.375,-1497.7,81.6169,,,,,,,,,,,,,,,,,,
145,0,0.0531261,0.0276879,1.64,254.426,-1497.53,81.313,,,,,,,,,,,,,,,,,,
