Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
52,0,-0.0376496,-0.0133728,0.62251,-946.93,-1552.5,95.0968,,,,,,,,,,,,,,,,,,
53,0,-0.0355776,-0.0130216,0.622594,-946.92,-1552.5,95.0649,,,,,,,,,,,,,,,,,,
54,0,-0.0334748,-0.0121074,0.622525,-946.906,-1552.48,95.0993,,,,,,,,,,,,,,,,,,
55,0,-0.0367779,-0.012758,0.62251,-946.962,-1552.53,95.2096,,,,,,,,,,,,,,,,,,
56,0,-0.0304056,-0.0117017,0.622537,-946.904,-1552.47,95.0433,,,,,,,,,,,,,,,,,,
57,0,-0.0373815,-0.0135334,0.622544,-946.915,-1552.5,95.0776,,,,,,,,,,,,,,,,,,
58,0,-0.0310537,-0.0115412,0.622408,-946.928,-1552.45,95.1315,,,,,,,,,,,,,,,,,,
59,0,-0.0309937,-0.0114753,0.622422,-946.931,-1552.45,95.131,,,,,,,,,,,,,,,,,,
60,0,-0.0349378,-0.0128004,0.622462,-946.894,-1552.48,95.0923,,,,,,,,,,,,,,,,,,
61,0,-0.0316619,-0.0117488,0.622537,-946.921,-1552.45,95.1119,,,,,,,,,,,,,,,,,,
62,0,-0.0347393,-0.0127158,0.622446,-946.917,-1552.48,95.0998,,,,,,,,,,,,,,,,,,
63,0,-0.0337272,-0.0122604,0.622425,-946.91,-1552.47,95.0959,,,,,,,,,,,,,,,,,,
64,0,-0.0347247,-0.0128941,0.622412,-946.911,-1552.46,95.09,,,,,,,,,,,,,,,,,,
65,0,-0.0395544,-0.0135025,0.622478,-946.95,-1552.55,95.2161,,,,,,,,,,,,,,,,,,
66,0,-0.039299,-0.0134349,0.622497,-946.955,-1552.54,95.1942,,,,,,,,,,,,,,,,,,
67,0,-0.0351065,-0.0129422,0.622416,-946.917,-1552.47,95.0814,,,,,,,,,,,,,,,,,,
68,0,-0.0363729,-0.0126095,0.622381,-946.938,-1552.53,95.1425,,,,,,,,,,,,,,,,,,
69,0,-0.0348228,-0.0126546,0.62248,-946.91,-1552.48,95.0954,,,,,,,,,,,,,,,,,,
70,0,-0.0343022,-0.0125874,0.622334,-946.924,-1552.47,95.0977,,,,,,,,,,,,,,,,,,
