Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.0483496,0.0483581,-1.33655,-654.186,1985.79,113.684
2,0,-0.0461064,0.046287,-1.3367,-654.15,1985.8,113.67
3,0,-0.0465142,0.0467371,-1.33651,-654.183,1985.79,113.681
4,0,-0.046308,0.0467086,-1.33658,-654.194,1985.77,113.673
5,0,-0.0474392,0.047093,-1.33685,-654.196,1985.8,113.665
6,0,-0.0487022,0.0486546,-1.33673,-654.198,1985.78,113.695
7,0,-0.0465689,0.046847,-1.33661,-654.188,1985.78,113.665
8,0,-0.047229,0.0470438,-1.3367,-654.171,1985.78,113.672
9,0,-0.046207,0.0464602,-1.33665,-654.188,1985.79,113.681
10,0,-0.0463477,0.0467946,-1.33661,-654.197,1985.77,113.675
11,0,-0.0482814,0.0481736,-1.3366,-654.18,1985.77,113.666
12,0,-0.0465677,0.0468222,-1.33658,-654.173,1985.8,113.677
13,0,-0.0469929,0.0469979,-1.33653,-654.172,1985.79,113.653
14,0,-0.0483692,0.0481167,-1.33651,-654.194,1985.79,113.648
15,0,-0.0484155,0.04795,-1.33658,-654.208,1985.78,113.669
16,0,-0.0473074,0.0473832,-1.33662,-654.173,1985.78,113.666
17,0,-0.0457872,0.0461216,-1.33675,-654.154,1985.78,113.684
18,0,-0.0473861,0.0474307,-1.33659,-654.184,1985.79,113.656
19,0,-0.0463021,0.0467399,-1.33647,-654.178,1985.79,113.638
20,0,-0.0475851,0.0478753,-1.33652,-654.165,1985.79,113.671
21,0,-0.046909,0.0470537,-1.33654,-654.181,1985.78,113.655
22,0,-0.0468504,0.0469018,-1.33665,-654.173,1985.77,113.672
23,0,-0.0463616,0.0464832,-1.33653,-654.189,1985.79,113.651
24,0,-0.0476672,0.0473001,-1.33653,-654.177,1985.81,113.637
25,0,-0.0473617,0.0475768,-1.33653,-654.169,1985.78,113.647
26,0,-0.0461864,0.0461666,-1.33666,-654.182,1985.78,113.662
27,0,-0.0485876,0.0483961,-1.33657,-654.187,1985.79,113.654
28,0,-0.0463771,0.0464882,-1.33658,-654.188,1985.78,113.652
29,0,-0.0478181,0.0481391,-1.33658,-654.18,1985.79,113.654
30,0,-0.0482818,0.0482713,-1.33654,-654.171,1985.81,113.642
31,0,-0.0489942,0.0487776,-1.33643,-654.173,1985.79,113.625
32,0,-0.0465371,0.0466033,-1.33653,-654.207,1985.8,113.66
33,0,-0.0465838,0.0468785,-1.33666,-654.143,1985.79,113.638
34,0,-0.0480849,0.047619,-1.33661,-654.18,1985.79,113.62
35,0,-0.0468982,0.0472737,-1.33651,-654.189,1985.8,113.643
36,0,-0.0465297,0.0468297,-1.33652,-654.171,1985.78,113.661
37,0,-0.0463903,0.0467972,-1.33667,-654.169,1985.79,113.65
