Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.0149405,-0.0117847,-1.30012,504.469,1045.43,90.3446
2,0,0.0256348,-0.0215271,-1.29989,504.441,1045.33,90.2107
3,0,0.0216728,-0.0181836,-1.2999,504.432,1045.31,90.2193
4,0,0.0233936,-0.0188683,-1.29983,504.443,1045.35,90.2757
5,0,0.0224318,-0.0183601,-1.29982,504.432,1045.34,90.235
6,0,0.0221944,-0.0187542,-1.29996,504.435,1045.35,90.2018
7,0,0.0191101,-0.0154038,-1.30005,504.477,1045.43,90.2931
8,0,0.0224761,-0.0186871,-1.2999,504.454,1045.37,90.2043
9,0,0.0230935,-0.0192771,-1.2999,504.456,1045.34,90.2247
10,0,0.0193559,-0.015453,-1.30007,504.448,1045.39,90.3625
11,0,0.0236319,-0.0198252,-1.29985,504.427,1045.31,90.2494
12,0,0.0226562,-0.0187405,-1.29988,504.412,1045.31,90.2376
13,0,0.0233656,-0.0192093,-1.29983,504.449,1045.33,90.2314
14,0,0.0220719,-0.0181927,-1.29987,504.443,1045.32,90.2174
15,0,0.0212063,-0.0176294,-1.2999,504.441,1045.36,90.2012
16,0,0.0199237,-0.0158902,-1.30008,504.45,1045.41,90.3041
17,0,0.0236716,-0.0197237,-1.29983,504.438,1045.32,90.2327
18,0,0.0216119,-0.0180312,-1.29996,504.439,1045.32,90.2603
19,0,0.0233979,-0.0195297,-1.29972,504.427,1045.32,90.2406
20,0,0.0198475,-0.0160767,-1.30031,504.496,1045.32,90.2686
21,0,0.0240046,-0.019999,-1.29992,504.448,1045.37,90.2045
22,0,0.0227259,-0.0187353,-1.29982,504.459,1045.35,90.1898
23,0,0.0220312,-0.0181236,-1.29984,504.453,1045.36,90.2226
24,0,0.0218928,-0.0179632,-1.29988,504.442,1045.34,90.2329
25,0,0.0194522,-0.0155146,-1.30011,504.452,1045.4,90.3374
26,0,0.0230757,-0.01943,-1.2999,504.435,1045.31,90.2469
27,0,0.022785,-0.0189306,-1.29991,504.442,1045.35,90.2335
28,0,0.0226016,-0.018736,-1.29982,504.445,1045.34,90.2184
29,0,0.0202518,-0.0163257,-1.30013,504.476,1045.43,90.2992
30,0,0.0223006,-0.0187306,-1.29968,504.439,1045.33,90.2103
31,0,0.0232533,-0.0191046,-1.29984,504.466,1045.35,90.2394
32,0,0.0226227,-0.018698,-1.29985,504.424,1045.33,90.2306
33,0,0.0226895,-0.0183781,-1.29984,504.434,1045.31,90.2354
34,0,0.0220778,-0.0183558,-1.29995,504.441,1045.36,90.2234
35,0,0.0186797,-0.0150902,-1.30016,504.476,1045.41,90.3099
36,0,0.0230244,-0.0190101,-1.29993,504.444,1045.35,90.2357
37,0,0.0196123,-0.0156403,-1.30002,504.485,1045.41,90.3118
38,0,0.0240212,-0.020076,-1.2999,504.452,1045.33,90.2078
39,0,0.0280542,-0.0244548,-1.30075,504.54,1045.45,90.106
40,0,0.0251777,-0.0219107,-1.30068,504.519,1045.45,90.163
