Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.0548736,0.0272695,1.6099,237.372,-1503.38,81.5108
2,0,0.0567302,0.0288297,1.61003,237.418,-1503.41,81.4719
3,0,0.0564727,0.028967,1.60992,237.371,-1503.39,81.4868
4,0,0.0569939,0.0291645,1.60984,237.388,-1503.39,81.4939
5,0,0.0558377,0.0284892,1.60971,237.399,-1503.39,81.4907
6,0,0.0550842,0.0275902,1.60969,237.389,-1503.38,81.5222
7,0,0.0563054,0.028745,1.61,237.384,-1503.38,81.4903
8,0,0.0563598,0.0288856,1.60983,237.376,-1503.37,81.4895
9,0,0.0562301,0.0286394,1.60998,237.4,-1503.4,81.4918
10,0,0.0568916,0.0288573,1.61008,237.434,-1503.4,81.4638
11,0,0.0614648,0.0329044,1.61026,237.47,-1503.21,81.377
12,0,0.0605987,0.0320787,1.61042,237.448,-1503.21,81.3799
13,0,0.0559825,0.0282408,1.60986,237.397,-1503.38,81.488
14,0,0.0568759,0.0290835,1.61003,237.408,-1503.38,81.4803
15,0,0.0554943,0.0278775,1.60971,237.384,-1503.39,81.4792
16,0,0.0549653,0.0277586,1.60962,237.363,-1503.38,81.4817
17,0,0.0561951,0.0285191,1.61007,237.389,-1503.39,81.4841
18,0,0.0561794,0.0284676,1.60995,237.365,-1503.37,81.4975
19,0,0.0615953,0.0324617,1.60998,237.395,-1503.29,81.3336
20,0,0.0556817,0.028436,1.60981,237.346,-1503.38,81.4808
21,0,0.0562822,0.0287028,1.60992,237.384,-1503.38,81.471
22,0,0.055818,0.027802,1.61042,237.326,-1503.44,81.5063
23,0,0.0561762,0.0287393,1.60999,237.379,-1503.38,81.4942
24,0,0.0547258,0.0273741,1.60969,237.353,-1503.36,81.513
25,0,0.0549725,0.0275627,1.60978,237.36,-1503.41,81.5104
26,0,0.0570674,0.0291979,1.60965,237.384,-1503.38,81.489
27,0,0.0544839,0.0271419,1.60976,237.38,-1503.4,81.5054
28,0,0.0568198,0.0291533,1.61001,237.4,-1503.39,81.486
29,0,0.056048,0.0282119,1.61025,237.323,-1503.45,81.5113
30,0,0.0544703,0.0267606,1.60987,237.385,-1503.38,81.4903
31,0,0.0564372,0.0288488,1.61038,237.449,-1503.46,81.518
32,0,0.0544251,0.027017,1.60982,237.374,-1503.37,81.5053
33,0,0.0558156,0.0279658,1.60993,237.397,-1503.4,81.4806
34,0,0.055538,0.0281772,1.60986,237.388,-1503.4,81.4808
35,0,0.0570122,0.0293205,1.60989,237.395,-1503.38,81.4806
36,0,0.0553658,0.0276038,1.61005,237.372,-1503.37,81.5026
37,0,0.0616492,0.032981,1.6103,237.465,-1503.2,81.3819
38,0,0.0555223,0.0279664,1.60999,237.385,-1503.38,81.5005
39,0,0.0544583,0.0269183,1.60989,237.403,-1503.37,81.4656
40,0,0.0565391,0.028388,1.61059,237.355,-1503.45,81.4892
41,0,0.0560233,0.028358,1.60995,237.379,-1503.39,81.5002
42,0,0.0564554,0.0290158,1.60979,237.402,-1503.38,81.4765
43,0,0.0562871,0.0284749,1.60997,237.387,-1503.38,81.4854
44,0,0.0558264,0.0281395,1.6098,237.375,-1503.38,81.485
45,0,0.055804,0.0280333,1.60989,237.395,-1503.39,81.4769
46,0,0.0567517,0.0291622,1.60982,237.376,-1503.39,81.4803
47,0,0.0546877,0.0272796,1.60973,237.359,-1503.4,81.5143
48,0,0.0553862,0.0281769,1.6099,237.356,-1503.37,81.511
49,0,0.05602,0.0284028,1.60986,237.376,-1503.38,81.484
50,0,0.055714,0.0278718,1.61001,237.39,-1503.39,81.455
51,0,0.0567711,0.0291227,1.60997,237.397,-1503.4,81.4901
52,0,0.0561935,0.0285435,1.60998,237.401,-1503.37,81.4651
53,0,0.0562406,0.028807,1.60982,237.379,-1503.38,81.4933
54,0,0.0564721,0.0280556,1.6104,237.36,-1503.47,81.4973
55,0,0.0563091,0.0281556,1.61058,237.343,-1503.44,81.5007
56,0,0.0554292,0.0278727,1.60979,237.386,-1503.38,81.4888
57,0,0.0553731,0.0279686,1.60983,237.388,-1503.39,81.4963
58,0,0.0611342,0.0323607,1.60984,237.369,-1503.29,81.3575
59,0,0.0550871,0.0276111,1.61013,237.428,-1503.44,81.4993
60,0,0.0564944,0.0286882,1.60984,237.415,-1503.4,81.4711
61,0,0.0561548,0.0284833,1.60988,237.389,-1503.38,81.4884
62,0,0.0558292,0.0278993,1.60996,237.388,-1503.39,81.4814
63,0,0.0566814,0.0290136,1.60988,237.391,-1503.38,81.4718
64,0,0.0551306,0.0275068,1.60995,237.379,-1503.38,81.4923
65,0,0.0550949,0.0274472,1.60996,237.385,-1503.39,81.4639
66,0,0.0530689,0.0258394,1.60982,237.362,-1503.39,81.4996
67,0,0.0565553,0.0292468,1.60969,237.379,-1503.38,81.4877
68,0,0.0553227,0.0281162,1.60982,237.391,-1503.38,81.4914
69,0,0.0574121,0.0295665,1.61033,237.445,-1503.47,81.4988
70,0,0.055937,0.0285808,1.60993,237.384,-1503.37,81.4806
71,0,0.057245,0.0294384,1.61033,237.453,-1503.44,81.4617
72,0,0.0566749,0.0289653,1.61006,237.419,-1503.42,81.466
73,0,0.0555777,0.0280043,1.61,237.394,-1503.38,81.4733
74,0,0.0565308,0.0287579,1.60988,237.383,-1503.41,81.4962
75,0,0.0558325,0.0284108,1.60974,237.372,-1503.37,81.4978
76,0,0.062244,0.0334964,1.60975,237.376,-1503.45,81.3829
77,0,0.0551086,0.0274933,1.60981,237.382,-1503.38,81.5076
78,0,0.0554738,0.0277325,1.61007,237.408,-1503.38,81.4765
79,0,0.0571377,0.0293174,1.60982,237.386,-1503.38,81.4884
80,0,0.0568158,0.0291202,1.60986,237.398,-1503.39,81.4892
81,0,0.0560058,0.0286167,1.60977,237.372,-1503.38,81.5155
82,0,0.0566057,0.0285585,1.60983,237.403,-1503.39,81.4749
83,0,0.0623687,0.0332031,1.60938,237.323,-1503.37,81.3476
84,0,0.0552594,0.0276974,1.60993,237.406,-1503.39,81.4657
85,0,0.0559317,0.0281836,1.60988,237.383,-1503.37,81.4958
86,0,0.0559783,0.0286368,1.60964,237.377,-1503.39,81.5051
87,0,0.0564967,0.0286652,1.60993,237.389,-1503.4,81.4861
88,0,0.0548905,0.0273989,1.60973,237.378,-1503.39,81.4766
89,0,0.0550183,0.0277232,1.60974,237.388,-1503.38,81.4765
90,0,0.0559052,0.0281836,1.60996,237.384,-1503.39,81.4779
91,0,0.0561197,0.0283975,1.61001,237.411,-1503.41,81.4883
92,0,0.0564784,0.0289455,1.61033,237.434,-1503.44,81.4821
93,0,0.0551538,0.0278216,1.60966,237.373,-1503.38,81.491
94,0,0.0560035,0.0281142,1.61011,237.416,-1503.4,81.4746
95,0,0.056091,0.0276698,1.61068,237.36,-1503.45,81.4855
96,0,0.0563061,0.0286559,1.61008,237.39,-1503.38,81.4681
97,0,0.0634152,0.0344043,1.61033,237.504,-1503.23,81.314
98,0,0.0551904,0.0277985,1.61005,237.399,-1503.38,81.4773
99,0,0.062898,0.0340312,1.60995,237.377,-1503.26,81.3413
100,0,0.0565832,0.0289856,1.60983,237.409,-1503.39,81.4839
101,0,0.0559971,0.0281177,1.61017,237.396,-1503.38,81.4762
102,0,0.057338,0.029517,1.61016,237.401,-1503.43,81.4932
103,0,0.0557907,0.0283122,1.60995,237.417,-1503.4,81.4886
104,0,0.0569085,0.0293465,1.61004,237.402,-1503.38,81.4903
105,0,0.0556455,0.0278769,1.60976,237.392,-1503.41,81.4865
106,0,0.0637947,0.0344139,1.60976,237.393,-1503.45,81.3403
107,0,0.0555583,0.0282013,1.60977,237.399,-1503.39,81.4952
108,0,0.0558235,0.0282307,1.60992,237.399,-1503.4,81.4793
109,0,0.0571002,0.0293379,1.60998,237.392,-1503.39,81.4887
110,0,0.0554237,0.0279541,1.61002,237.39,-1503.39,81.4783
111,0,0.0558923,0.0282971,1.60996,237.364,-1503.39,81.4996
112,0,0.055158,0.0276695,1.60982,237.392,-1503.38,81.47
113,0,0.0617009,0.032796,1.61028,237.436,-1503.21,81.3666
114,0,0.0539347,0.0268818,1.60972,237.345,-1503.38,81.5026
115,0,0.0561077,0.0286284,1.61001,237.409,-1503.39,81.4677
116,0,0.0573324,0.0297787,1.61002,237.4,-1503.39,81.4559
117,0,0.0552033,0.027744,1.60989,237.368,-1503.38,81.4952
118,0,0.0547313,0.0272102,1.60967,237.38,-1503.38,81.4792
119,0,0.0568104,0.0292581,1.6103,237.448,-1503.46,81.4691
120,0,0.0564506,0.0283604,1.61045,237.366,-1503.46,81.4826
121,0,0.0551026,0.0279619,1.60983,237.396,-1503.38,81.4954
122,0,0.056597,0.0288089,1.60982,237.384,-1503.37,81.4659
123,0,0.0547108,0.0269371,1.61002,237.37,-1503.38,81.5046
124,0,0.0550316,0.0273528,1.60993,237.395,-1503.39,81.4815
125,0,0.0564206,0.0287738,1.60972,237.391,-1503.39,81.4827
