Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
83,0,-0.054683,-0.0166837,0.648113,-948.239,-1557.24,95.9847
84,0,-0.0535679,-0.0165781,0.648229,-948.243,-1557.22,96.1161
85,0,-0.0537884,-0.016821,0.648272,-948.267,-1557.21,96.1789
86,0,-0.0523345,-0.0160387,0.648331,-948.21,-1557.21,95.9987
87,0,-0.0523582,-0.0165142,0.648405,-948.225,-1557.23,95.9887
88,0,-0.0511328,-0.015802,0.64814,-948.244,-1557.21,96.0711
89,0,-0.047269,-0.0152109,0.649373,-948.043,-1557.27,95.9984
90,0,-0.0528745,-0.0161609,0.648246,-948.221,-1557.27,95.9635
91,0,-0.0524133,-0.0157374,0.648174,-948.205,-1557.26,95.9804
92,0,-0.0518626,-0.0159637,0.648303,-948.212,-1557.28,95.9661
93,0,-0.0536462,-0.0164186,0.648356,-948.219,-1557.23,96.0027
94,0,-0.0536591,-0.0165574,0.648257,-948.235,-1557.25,95.9672
95,0,-0.0520001,-0.0160248,0.648239,-948.219,-1557.25,95.9822
96,0,-0.050517,-0.0157571,0.648191,-948.194,-1557.26,95.9324
97,0,-0.051649,-0.016072,0.648324,-948.198,-1557.26,95.9204
98,0,-0.0506358,-0.0156699,0.648274,-948.185,-1557.26,95.8785
99,0,-0.0509907,-0.0158492,0.648294,-948.196,-1557.24,95.923
100,0,-0.051331,-0.0158,0.6484,-948.184,-1557.25,95.9186
101,0,-0.0530283,-0.0163598,0.648231,-948.197,-1557.23,95.957
102,0,-0.0465459,-0.015544,0.647903,-948.24,-1557.18,95.8019
103,0,-0.0525977,-0.0162858,0.648232,-948.208,-1557.21,95.9327
104,0,-0.05089,-0.0159198,0.648387,-948.194,-1557.22,95.9042
105,0,-0.0523692,-0.016379,0.648382,-948.19,-1557.23,95.9012
106,0,-0.0464939,-0.0151104,0.648087,-948.252,-1557.18,95.77
107,0,-0.0526083,-0.0162748,0.648363,-948.213,-1557.2,95.9558
108,0,-0.0522438,-0.0163294,0.648392,-948.229,-1557.22,95.9694
109,0,-0.0528515,-0.0162633,0.648178,-948.222,-1557.23,95.9521
110,0,-0.0515072,-0.0159233,0.648306,-948.187,-1557.25,95.9109
111,0,-0.0500308,-0.0159022,0.648341,-948.18,-1557.24,95.8845
112,0,-0.052545,-0.0161027,0.648366,-948.174,-1557.26,95.907
113,0,-0.0523544,-0.0162582,0.648302,-948.192,-1557.27,95.8873
114,0,-0.0514839,-0.0160755,0.64835,-948.206,-1557.25,95.8951
115,0,-0.052579,-0.0160905,0.648326,-948.193,-1557.25,95.9001
116,0,-0.0520679,-0.0163941,0.64834,-948.196,-1557.25,95.9159
117,0,-0.0522024,-0.0161874,0.648281,-948.199,-1557.25,95.8869
118,0,-0.0491271,-0.0158013,0.648613,-948.146,-1557.31,95.8462
119,0,-0.0521947,-0.0159346,0.648289,-948.167,-1557.23,95.9105
120,0,-0.0507497,-0.015769,0.648291,-948.168,-1557.23,95.9063
121,0,-0.0514219,-0.0163929,0.648889,-948.141,-1557.31,95.8688
122,0,-0.0521473,-0.0161324,0.648333,-948.198,-1557.25,95.9306
123,0,-0.0458981,-0.0154186,0.647996,-948.252,-1557.2,95.8828
124,0,-0.0529695,-0.0161939,0.648268,-948.197,-1557.25,95.9797
125,0,-0.0501597,-0.0156181,0.648291,-948.196,-1557.24,95.9727
126,0,-0.0510775,-0.0158127,0.648305,-948.223,-1557.23,95.9834
127,0,-0.051966,-0.0162862,0.648313,-948.234,-1557.22,95.9796
128,0,-0.0512744,-0.0159093,0.648239,-948.231,-1557.22,95.9856
129,0,-0.0520899,-0.0159,0.64838,-948.209,-1557.23,95.9897
130,0,-0.0519641,-0.0161651,0.648386,-948.214,-1557.24,95.9699
131,0,-0.0528593,-0.0162933,0.648238,-948.224,-1557.23,96.0258
132,0,-0.0474728,-0.0151956,0.648943,-948.161,-1557.28,95.9747
133,0,-0.0523198,-0.0163301,0.648184,-948.229,-1557.22,95.9977
134,0,-0.0499823,-0.0159974,0.648742,-948.139,-1557.29,95.9248
135,0,-0.0490662,-0.0153823,0.64838,-948.147,-1557.18,95.842
136,0,-0.0529294,-0.0164534,0.648305,-948.179,-1557.25,95.9157
137,0,-0.0516612,-0.0157558,0.648088,-948.185,-1557.26,95.9422
138,0,-0.052031,-0.0162095,0.64813,-948.21,-1557.27,95.9639
139,0,-0.0509273,-0.0162746,0.648704,-948.148,-1557.33,95.8906
140,0,-0.0525108,-0.0162237,0.648393,-948.196,-1557.28,95.9279
141,0,-0.0536881,-0.0162963,0.648057,-948.241,-1557.26,95.9602
142,0,-0.0531949,-0.0162938,0.6481,-948.243,-1557.28,95.979
143,0,-0.051776,-0.0162262,0.648287,-948.228,-1557.28,95.9212
144,0,-0.0508799,-0.0159613,0.648906,-948.176,-1557.33,95.8872
145,0,-0.0520758,-0.0161881,0.648161,-948.256,-1557.26,95.9111
146,0,-0.0511376,-0.0161554,0.648777,-948.193,-1557.33,95.8934
147,0,-0.0523917,-0.0160682,0.648193,-948.235,-1557.26,95.9371
148,0,-0.0519391,-0.015954,0.648248,-948.235,-1557.25,95.912
149,0,-0.0525455,-0.0160716,0.648291,-948.227,-1557.25,95.9706
150,0,-0.0511584,-0.0156752,0.64838,-948.234,-1557.23,95.9943
151,0,-0.0527204,-0.0163168,0.648285,-948.231,-1557.24,95.993
152,0,-0.0497086,-0.0156388,0.648668,-948.181,-1557.29,95.9704
153,0,-0.052789,-0.0163577,0.648287,-948.216,-1557.25,96.0359
154,0,-0.0536852,-0.0164856,0.648149,-948.22,-1557.23,96.0204
155,0,-0.0532036,-0.0164799,0.648279,-948.22,-1557.22,96.044
156,0,-0.0516846,-0.016009,0.648304,-948.202,-1557.21,96.037
157,0,-0.0522639,-0.0160393,0.648306,-948.211,-1557.23,96.0064
158,0,-0.0527274,-0.0163879,0.648153,-948.229,-1557.21,96.0214
159,0,-0.0480364,-0.0155241,0.647787,-948.266,-1557.16,95.8455
160,0,-0.052979,-0.0165057,0.648339,-948.215,-1557.24,95.9373
161,0,-0.0521709,-0.0161797,0.648267,-948.207,-1557.24,95.9486
162,0,-0.0520264,-0.0162186,0.648314,-948.218,-1557.24,95.9485
163,0,-0.0531289,-0.0163971,0.648169,-948.214,-1557.25,95.9834
164,0,-0.0521476,-0.0158231,0.648135,-948.221,-1557.24,95.9876
165,0,-0.0520711,-0.016299,0.648297,-948.224,-1557.25,95.9546
166,0,-0.0534982,-0.0165916,0.648191,-948.256,-1557.26,95.9622
167,0,-0.0528998,-0.016193,0.648264,-948.244,-1557.25,95.9943
168,0,-0.0533244,-0.0163002,0.648298,-948.244,-1557.26,95.975
169,0,-0.0518957,-0.0158656,0.648836,-948.1,-1557.24,95.9843
170,0,-0.0515595,-0.0159374,0.648291,-948.231,-1557.26,95.9944
171,0,-0.0520751,-0.0161466,0.648146,-948.221,-1557.25,95.9712
172,0,-0.0547906,-0.0168553,0.648123,-948.232,-1557.26,95.991
173,0,-0.0508537,-0.0159708,0.648282,-948.217,-1557.24,95.9961
174,0,-0.0504059,-0.0156191,0.6482,-948.218,-1557.24,95.9759
175,0,-0.052287,-0.0161852,0.648116,-948.206,-1557.23,96.0148
176,0,-0.0492744,-0.0157013,0.648814,-948.149,-1557.31,95.9503
177,0,-0.0526117,-0.0163752,0.648362,-948.206,-1557.24,95.9528
178,0,-0.0518219,-0.0162648,0.648374,-948.206,-1557.25,95.9307
179,0,-0.046904,-0.0152364,0.648372,-948.169,-1557.21,95.8735
180,0,-0.0521197,-0.0162378,0.648341,-948.2,-1557.24,95.9663
181,0,-0.0509806,-0.0162002,0.648958,-948.056,-1557.23,95.9807
182,0,-0.0520739,-0.015991,0.648221,-948.189,-1557.24,95.984
183,0,-0.0517893,-0.016215,0.648359,-948.189,-1557.24,95.9665
184,0,-0.0523345,-0.016294,0.648351,-948.171,-1557.24,95.9406
185,0,-0.0506853,-0.0156604,0.648913,-948.065,-1557.23,95.9655
186,0,-0.047281,-0.0151469,0.649364,-948.017,-1557.27,95.9424
187,0,-0.052104,-0.0160769,0.648355,-948.218,-1557.25,95.9526
188,0,-0.046373,-0.0152681,0.647961,-948.276,-1557.22,95.8196
189,0,-0.0534034,-0.0166578,0.648195,-948.231,-1557.25,95.9611
190,0,-0.0454969,-0.0148947,0.648864,-948.116,-1557.25,95.8341
191,0,-0.0518609,-0.0160942,0.648356,-948.208,-1557.24,95.954
192,0,-0.0499095,-0.0158984,0.648979,-948.175,-1557.33,95.8905
