Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
88,0,0.00335003,0.006365,-1.3189,888.105,1250.54,89.2247
89,0,0.00647847,0.00426368,-1.3188,888.087,1250.63,89.3091
90,0,0.00495461,0.00502071,-1.31883,888.094,1250.6,89.2832
91,0,-0.000837501,0.00976988,-1.31874,888.091,1250.55,89.2194
92,0,0.000193522,0.00909725,-1.31956,888.198,1250.52,89.3113
93,0,0.00456077,0.00552944,-1.31874,888.097,1250.62,89.2661
94,0,0.0056548,0.00440023,-1.31898,888.102,1250.63,89.2453
95,0,0.00499051,0.00581307,-1.31873,888.104,1250.63,89.232
96,0,0.00639407,0.00476945,-1.31893,888.071,1250.6,89.2923
97,0,0.00313574,0.00706268,-1.31879,888.078,1250.6,89.2419
98,0,0.00731326,0.00351401,-1.31896,888.076,1250.6,89.2811
99,0,0.000397075,0.00899991,-1.31914,888.108,1250.54,89.1835
100,0,0.00107472,0.0083653,-1.31905,888.119,1250.56,89.1897
101,0,0.00119898,0.00778556,-1.319,888.104,1250.56,89.1719
102,0,0.00883559,0.00249308,-1.31875,888.096,1250.62,89.225
103,0,0.00145193,0.00834474,-1.31899,888.098,1250.6,89.2614
104,0,0.00101211,0.00869695,-1.31887,888.106,1250.53,89.2295
105,0,0.00484296,0.0052954,-1.31903,888.083,1250.59,89.2771
106,0,0.00602296,0.00501388,-1.31871,888.104,1250.58,89.2465
107,0,0.00244663,0.00736222,-1.31875,888.093,1250.6,89.2633
108,0,0.00601739,0.0044337,-1.31871,888.094,1250.6,89.2647
109,0,0.00515075,0.00544274,-1.31886,888.097,1250.58,89.2564
110,0,-0.00123973,0.0102922,-1.31893,888.11,1250.6,89.1886
111,0,0.00374845,0.00642832,-1.31882,888.103,1250.52,89.1794
112,0,0.00700051,0.00395439,-1.31853,888.101,1250.64,89.2321
113,0,0.000238307,0.00914036,-1.31885,888.098,1250.6,89.2112
114,0,0.00854956,0.00255121,-1.31859,888.053,1250.62,89.3005
115,0,0.0057173,0.00535739,-1.31876,888.089,1250.63,89.2854
116,0,0.00143777,0.00846426,-1.31863,888.097,1250.61,89.2341
117,0,0.000900993,0.00824841,-1.31887,888.108,1250.59,89.1551
118,0,0.00811547,0.00311971,-1.31872,888.066,1250.63,89.2767
119,0,0.000411083,0.0084509,-1.31914,888.059,1250.55,89.2602
120,0,0.00895114,0.000129608,-1.31876,888.038,1250.66,89.0863
121,0,0.00530639,0.00512936,-1.3188,888.093,1250.63,89.2819
122,0,-0.000307539,0.00946004,-1.31893,888.067,1250.56,89.2093
123,0,0.00679081,0.0033193,-1.31884,888.078,1250.6,89.2985
124,0,0.00603003,0.00450091,-1.31886,888.068,1250.61,89.302
125,0,0.00129179,0.00806041,-1.31902,888.086,1250.58,89.227
126,0,0.00163012,0.00755991,-1.31909,888.077,1250.56,89.2278
127,0,0.00557569,0.00537664,-1.31847,888.091,1250.68,89.2427
128,0,0.000430751,0.00874649,-1.31907,888.108,1250.54,89.2555
129,0,-0.000869716,0.0103348,-1.31874,888.081,1250.59,89.2501
130,0,0.00727327,0.00324533,-1.31906,888.085,1250.58,89.3021
131,0,0.00118634,0.00838386,-1.31894,888.067,1250.52,89.2473
132,0,0.00139402,0.0083922,-1.31897,888.094,1250.53,89.2207
133,0,0.0002753,0.00894317,-1.31905,888.099,1250.59,89.2111
134,0,0.00637946,0.00424868,-1.31892,888.046,1250.63,89.2462
135,0,0.00639223,0.00438695,-1.31866,888.073,1250.59,89.2463
136,0,0.000519908,0.00925362,-1.31905,888.045,1250.56,89.2569
137,0,0.00204462,0.00768128,-1.31893,888.055,1250.56,89.2013
138,0,0.00704764,0.00377363,-1.31881,888.063,1250.6,89.2815
139,0,0.00113632,0.00873194,-1.31889,888.09,1250.57,89.1877
140,0,0.0111156,-0.00156602,-1.31886,888.044,1250.62,89.075
141,0,0.00216186,0.00776342,-1.3189,888.061,1250.6,89.2793
142,0,0.000376227,0.00901837,-1.31895,888.087,1250.56,89.2426
143,0,0.00194536,0.00815357,-1.31907,888.094,1250.54,89.2158
144,0,0.00217462,0.00794762,-1.31898,888.113,1250.61,89.2324
145,0,0.00811517,0.00296435,-1.3186,888.043,1250.6,89.3107
146,0,0.00198878,0.00753411,-1.31889,888.123,1250.58,89.2471
147,0,0.00473373,0.00542324,-1.31862,888.107,1250.64,89.2777
148,0,6.26983e-05,0.00928904,-1.31899,888.108,1250.57,89.1938
149,0,0.00202743,0.00885799,-1.31913,888.142,1250.63,89.3337
150,0,0.00652479,0.00438735,-1.31854,888.092,1250.61,89.2218
151,0,-1.22335e-05,0.00891152,-1.31902,888.097,1250.55,89.222
152,0,0.00739351,0.00345848,-1.3187,888.07,1250.58,89.2324
153,0,0.00527535,0.00535189,-1.31875,888.091,1250.61,89.2246
154,0,0.00255504,0.00739804,-1.31878,888.097,1250.58,89.2114
155,0,0.00310725,0.0069561,-1.31889,888.08,1250.57,89.226
156,0,0.000248496,0.00920812,-1.31899,888.094,1250.56,89.2122
157,0,0.00136005,0.00815608,-1.31893,888.067,1250.56,89.2192
158,0,0.00452303,0.00530335,-1.3189,888.068,1250.61,89.2605
159,0,0.00738295,0.00354299,-1.31851,888.082,1250.62,89.2429
160,0,0.000436945,0.00847134,-1.3189,888.092,1250.56,89.218
161,0,-0.000111251,0.00969895,-1.31883,888.073,1250.63,89.208
162,0,0.00207345,0.00738979,-1.31899,888.113,1250.55,89.2419
163,0,0.00227108,0.00781206,-1.31886,888.08,1250.55,89.2349
164,0,0.00332407,0.00661209,-1.31878,888.073,1250.56,89.217
165,0,0.00337948,0.00673929,-1.31876,888.071,1250.51,89.2201
166,0,0.00325482,0.00654386,-1.31878,888.078,1250.54,89.2582
167,0,0.00451461,0.00625009,-1.31935,888.11,1250.63,89.3743
168,0,0.00178671,0.0078938,-1.31868,888.104,1250.55,89.236
169,0,0.00395006,0.00646716,-1.31884,888.091,1250.65,89.2828
170,0,0.015379,-0.00563193,-1.31872,888.05,1250.65,89.095
171,0,0.00241147,0.00677309,-1.31903,888.111,1250.57,89.269
172,0,0.000857766,0.00784804,-1.31901,888.083,1250.52,89.2262
173,0,0.00237272,0.00727959,-1.31892,888.106,1250.52,89.1951
174,0,0.00627634,0.00452624,-1.31886,888.084,1250.61,89.2965
175,0,0.00388931,0.0061081,-1.31893,888.082,1250.56,89.2911
176,0,0.00654511,0.00394723,-1.31916,888.084,1250.59,89.2853
177,0,0.0133892,-0.00347264,-1.31885,888.027,1250.69,89.0956
178,0,0.000778167,0.00889919,-1.31901,888.085,1250.57,89.1975
179,0,0.00203035,0.00705117,-1.31899,888.065,1250.55,89.2083
180,0,0.00307171,0.0078191,-1.31908,888.101,1250.61,89.344
181,0,0.00287644,0.00731508,-1.319,888.08,1250.54,89.207
182,0,0.00277094,0.00702895,-1.31902,888.048,1250.54,89.2815
183,0,0.00540955,0.00553247,-1.31878,888.061,1250.65,89.2678
184,0,0.00124869,0.00808691,-1.31867,888.083,1250.58,89.2036
185,0,0.00253499,0.00732909,-1.31845,888.087,1250.57,89.1734
186,0,0.00271545,0.00722775,-1.31872,888.081,1250.58,89.2336
187,0,0.0083769,0.00283946,-1.31877,888.079,1250.59,89.2823
188,0,0.00370458,0.00565097,-1.31877,888.062,1250.61,89.304
189,0,0.00619569,0.00440571,-1.3188,888.05,1250.6,89.2911
190,0,0.000508385,0.00911808,-1.31891,888.091,1250.59,89.2849
191,0,0.00216454,0.00735693,-1.31902,888.09,1250.54,89.247
