Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.00755992,-0.0230038,-1.76466,552.766,878.31,89.0451
2,0,0.0047233,-0.0187516,-1.76451,552.731,878.302,89.0989
3,0,0.00644526,-0.0212965,-1.76457,552.756,878.307,89.0776
4,0,0.0196893,-0.0446148,-1.76591,553.014,878.371,88.4823
5,0,0.0105814,-0.0298048,-1.76603,552.985,878.294,88.8071
6,0,0.00449411,-0.0187013,-1.76464,552.739,878.312,89.0571
7,0,0.0159145,-0.0380263,-1.76591,552.969,878.234,88.6477
8,0,0.0151503,-0.0373908,-1.76578,552.986,878.249,88.6462
9,0,0.00434612,-0.0185904,-1.7647,552.759,878.314,89.0556
10,0,0.013686,-0.0333185,-1.76435,552.732,878.406,88.8009
11,0,0.00904484,-0.025226,-1.76447,552.723,878.258,88.9422
12,0,0.00910657,-0.0260207,-1.76433,552.718,878.261,88.954
13,0,0.00594027,-0.0202971,-1.7646,552.755,878.306,89.086
14,0,0.00440831,-0.0187101,-1.76462,552.73,878.314,89.0815
15,0,0.0141044,-0.033602,-1.76451,552.766,878.375,88.7704
16,0,0.0155006,-0.0375374,-1.76581,552.955,878.231,88.6748
17,0,0.0105053,-0.0295895,-1.76612,553.004,878.287,88.8084
18,0,0.0206919,-0.0464547,-1.7658,553.015,878.38,88.5187
19,0,0.0107146,-0.0302863,-1.76608,553.001,878.276,88.8094
20,0,0.00865702,-0.0249013,-1.76446,552.716,878.26,88.9433
21,0,0.00820222,-0.0245629,-1.76438,552.696,878.245,88.9668
22,0,0.00518013,-0.019339,-1.76463,552.74,878.282,89.088
23,0,0.00534913,-0.0196253,-1.76455,552.736,878.312,89.0858
24,0,0.00912901,-0.025994,-1.7643,552.723,878.256,88.9638
25,0,0.00511309,-0.0191183,-1.76458,552.738,878.29,89.0731
26,0,0.00646828,-0.0214351,-1.76463,552.771,878.311,89.0395
27,0,0.00574151,-0.0205316,-1.76468,552.759,878.317,89.0312
28,0,0.00443871,-0.0186224,-1.76473,552.753,878.295,89.0651
29,0,0.00593568,-0.0206264,-1.76468,552.735,878.291,89.074
