Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,-0.0266706,0.02499,-1.20288,-205.922,1326.73,103.649
2,0,-0.0290954,0.0271188,-1.20291,-205.91,1326.71,103.631
3,0,-0.0280254,0.0261001,-1.20275,-205.912,1326.71,103.604
4,0,-0.0285217,0.0266232,-1.20288,-205.915,1326.69,103.646
5,0,-0.0286976,0.0268011,-1.20286,-205.928,1326.7,103.649
6,0,-0.0303787,0.0278723,-1.20284,-205.891,1326.68,103.657
7,0,-0.0348792,0.0325513,-1.20224,-205.951,1326.59,103.783
8,0,-0.0287574,0.0266913,-1.20282,-205.909,1326.72,103.634
9,0,-0.0290599,0.0269028,-1.20291,-205.903,1326.72,103.626
10,0,-0.0283759,0.0264332,-1.20295,-205.88,1326.72,103.627
11,0,-0.0294882,0.0273856,-1.20296,-205.898,1326.69,103.645
12,0,-0.0290385,0.0268488,-1.20285,-205.902,1326.7,103.638
13,0,-0.028375,0.0263988,-1.20282,-205.909,1326.72,103.652
14,0,-0.028342,0.0262901,-1.20276,-205.928,1326.73,103.628
15,0,-0.0227158,0.0209567,-1.20356,-205.811,1326.77,103.495
16,0,-0.0290711,0.0271825,-1.20289,-205.926,1326.73,103.607
17,0,-0.0288773,0.0269226,-1.20283,-205.912,1326.72,103.624
18,0,-0.0291904,0.0270717,-1.20291,-205.898,1326.71,103.641
19,0,-0.0287421,0.0265351,-1.20282,-205.893,1326.7,103.633
20,0,-0.0288783,0.0269989,-1.20297,-205.897,1326.7,103.645
21,0,-0.0298472,0.0274552,-1.20281,-205.897,1326.71,103.64
22,0,-0.029155,0.0274214,-1.20291,-205.912,1326.71,103.644
23,0,-0.0293217,0.02718,-1.20293,-205.9,1326.72,103.645
24,0,-0.0349532,0.0329341,-1.20242,-205.945,1326.6,103.795
25,0,-0.0283047,0.0264175,-1.20282,-205.89,1326.71,103.637
26,0,-0.0293251,0.027283,-1.20285,-205.903,1326.7,103.623
27,0,-0.0293467,0.0272404,-1.20283,-205.889,1326.71,103.639
28,0,-0.0298782,0.0277263,-1.20284,-205.907,1326.72,103.646
29,0,-0.0287372,0.0266502,-1.20284,-205.908,1326.7,103.617
30,0,-0.0287391,0.0268396,-1.20288,-205.905,1326.71,103.618
31,0,-0.0352344,0.0330152,-1.20243,-205.925,1326.6,103.786
32,0,-0.028085,0.0260969,-1.20277,-205.928,1326.71,103.641
33,0,-0.0276484,0.0260753,-1.20293,-205.907,1326.71,103.647
34,0,-0.0293025,0.0273509,-1.20292,-205.899,1326.71,103.642
35,0,-0.0279689,0.0262323,-1.20301,-205.888,1326.73,103.655
36,0,-0.0294527,0.0272484,-1.20285,-205.915,1326.71,103.636
37,0,-0.0285778,0.0263709,-1.20286,-205.906,1326.72,103.626
38,0,-0.0284023,0.0263847,-1.20278,-205.923,1326.71,103.626
39,0,-0.0293044,0.0270758,-1.20287,-205.898,1326.72,103.64
40,0,-0.0295533,0.0274767,-1.20288,-205.913,1326.73,103.664
41,0,-0.0282285,0.0262742,-1.20281,-205.903,1326.71,103.633
42,0,-0.0301525,0.0276881,-1.20293,-205.898,1326.7,103.617
43,0,-0.0287196,0.0267393,-1.20291,-205.907,1326.73,103.624
44,0,-0.0285516,0.0265942,-1.20277,-205.897,1326.71,103.622
45,0,-0.0213431,0.0193413,-1.20368,-205.817,1326.77,103.435
46,0,-0.00437107,0.00241547,-1.20492,-205.625,1326.85,102.977
47,0,-0.0194928,0.0174019,-1.20439,-205.719,1326.85,103.367
48,0,-0.0114232,0.0094663,-1.20517,-205.631,1326.93,103.17
49,0,-0.034341,0.0319895,-1.2024,-205.935,1326.62,103.788
50,0,-0.0282305,0.0264842,-1.20289,-205.912,1326.71,103.634
51,0,-0.0294027,0.0271824,-1.20283,-205.918,1326.71,103.636
52,0,-0.00536123,0.00364013,-1.20481,-205.647,1326.84,103
