Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.050981,0.0246001,1.62279,243.836,-1502.11,81.958,,,,,,,,,,,,,,,,,,
2,0,0.050477,0.0246057,1.62253,243.84,-1502.1,81.9597,,,,,,,,,,,,,,,,,,
3,0,0.0521545,0.0257077,1.62282,243.854,-1502.11,81.9437,,,,,,,,,,,,,,,,,,
4,0,0.0534643,0.0272534,1.62253,243.875,-1502.11,81.9397,,,,,,,,,,,,,,,,,,
5,0,0.0259329,0.00582677,1.62162,243.736,-1502.3,82.5324,,,,,,,,,,,,,,,,,,
6,0,0.0274559,0.0071425,1.62166,243.737,-1502.3,82.5373,,,,,,,,,,,,,,,,,,
7,0,0.0524815,0.0265194,1.62262,243.816,-1502.11,81.9846,,,,,,,,,,,,,,,,,,
8,0,0.0528067,0.0265554,1.62269,243.834,-1502.11,81.9567,,,,,,,,,,,,,,,,,,
9,0,0.0519989,0.0256355,1.62277,243.831,-1502.12,81.9526,,,,,,,,,,,,,,,,,,
10,0,0.0495946,0.0234988,1.62274,243.839,-1502.1,81.9499,,,,,,,,,,,,,,,,,,
11,0,0.0526667,0.0265499,1.62251,243.851,-1502.12,81.9469,,,,,,,,,,,,,,,,,,
12,0,0.0406131,0.0171463,1.62258,243.866,-1502.09,82.1955,,,,,,,,,,,,,,,,,,
13,0,0.0521821,0.0260496,1.62268,243.822,-1502.08,81.9392,,,,,,,,,,,,,,,,,,
14,0,0.0534863,0.0273601,1.62264,243.855,-1502.11,81.9158,,,,,,,,,,,,,,,,,,
15,0,0.051319,0.0247817,1.62297,243.828,-1502.12,81.9564,,,,,,,,,,,,,,,,,,
16,0,0.0284264,0.00773006,1.62197,243.751,-1502.3,82.5206,,,,,,,,,,,,,,,,,,
17,0,0.0525394,0.0261689,1.62278,243.837,-1502.11,81.964,,,,,,,,,,,,,,,,,,
18,0,0.0519961,0.0258532,1.62258,243.849,-1502.11,81.9469,,,,,,,,,,,,,,,,,,
19,0,0.0530307,0.0270146,1.62281,243.804,-1502.1,81.9829,,,,,,,,,,,,,,,,,,
20,0,0.0265063,0.00653954,1.62156,243.703,-1502.3,82.5504,,,,,,,,,,,,,,,,,,
21,0,0.0289298,0.00816627,1.622,243.72,-1502.3,82.5453,,,,,,,,,,,,,,,,,,
22,0,0.0524152,0.0261172,1.62266,243.852,-1502.12,81.968,,,,,,,,,,,,,,,,,,
23,0,0.0518566,0.0259139,1.62253,243.823,-1502.12,81.9823,,,,,,,,,,,,,,,,,,
24,0,0.0287269,0.00824499,1.6226,243.852,-1502.31,82.519,,,,,,,,,,,,,,,,,,
25,0,0.0284431,0.00831099,1.62167,243.732,-1502.3,82.5276,,,,,,,,,,,,,,,,,,
26,0,0.0262898,0.00634267,1.62183,243.722,-1502.29,82.5452,,,,,,,,,,,,,,,,,,
27,0,0.0523861,0.0262702,1.62263,243.824,-1502.11,81.9851,,,,,,,,,,,,,,,,,,
28,0,0.0520259,0.0257493,1.62274,243.815,-1502.11,81.9813,,,,,,,,,,,,,,,,,,
29,0,0.0505653,0.0244269,1.62278,243.827,-1502.11,81.979,,,,,,,,,,,,,,,,,,
30,0,0.0522079,0.0257792,1.62278,243.841,-1502.11,81.9697,,,,,,,,,,,,,,,,,,
31,0,0.0658962,0.0368037,1.6232,243.911,-1501.82,81.5895,,,,,,,,,,,,,,,,,,
32,0,0.0519212,0.0257924,1.62271,243.823,-1502.12,81.9893,,,,,,,,,,,,,,,,,,
33,0,0.0277625,0.00773109,1.6217,243.718,-1502.31,82.5311,,,,,,,,,,,,,,,,,,
34,0,0.0569878,0.0296492,1.62315,243.905,-1501.92,81.8493,,,,,,,,,,,,,,,,,,
35,0,0.0507781,0.0250496,1.62251,243.833,-1502.11,81.9767,,,,,,,,,,,,,,,,,,
36,0,0.0261554,0.00606807,1.62188,243.732,-1502.3,82.533,,,,,,,,,,,,,,,,,,
37,0,0.0519065,0.0259556,1.62257,243.829,-1502.12,81.9627,,,,,,,,,,,,,,,,,,
38,0,0.0522176,0.0261206,1.62286,243.833,-1502.11,81.9535,,,,,,,,,,,,,,,,,,
39,0,0.0256954,0.00524884,1.62191,243.744,-1502.29,82.5294,,,,,,,,,,,,,,,,,,
40,0,0.0282685,0.00811498,1.62198,243.734,-1502.29,82.5255,,,,,,,,,,,,,,,,,,
41,0,0.0281191,0.00776945,1.62182,243.739,-1502.3,82.5127,,,,,,,,,,,,,,,,,,
42,0,0.0513418,0.0252743,1.62254,243.817,-1502.09,81.9557,,,,,,,,,,,,,,,,,,
43,0,0.0509582,0.0248651,1.62275,243.806,-1502.11,81.9973,,,,,,,,,,,,,,,,,,
44,0,0.0519994,0.0256614,1.62258,243.827,-1502.11,81.9576,,,,,,,,,,,,,,,,,,
45,0,0.0515983,0.0255694,1.62247,243.821,-1502.11,81.9875,,,,,,,,,,,,,,,,,,
46,0,0.0566452,0.0291918,1.62342,243.929,-1501.93,81.8353,,,,,,,,,,,,,,,,,,
47,0,0.0496676,0.0235408,1.62288,243.82,-1502.09,81.9854,,,,,,,,,,,,,,,,,,
