Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.0344049,-0.0101626,3.93574,1374.15,-374.913,76.4005,,,,,,,,,,,,,,,,,,
2,0,0.0344896,-0.0107418,3.93593,1374.17,-374.913,76.3812,,,,,,,,,,,,,,,,,,
3,0,0.0420121,-0.0442456,3.93645,1374.07,-374.72,76.7489,,,,,,,,,,,,,,,,,,
4,0,0.0401901,-0.0389021,3.93662,1374.07,-374.714,76.703,,,,,,,,,,,,,,,,,,
5,0,0.0403349,-0.04059,3.93658,1374.06,-374.716,76.7338,,,,,,,,,,,,,,,,,,
6,0,0.0397522,-0.0386653,3.93655,1374.09,-374.715,76.7202,,,,,,,,,,,,,,,,,,
7,0,0.0401368,-0.038752,3.93651,1374.08,-374.739,76.7322,,,,,,,,,,,,,,,,,,
8,0,0.040235,-0.0389916,3.93649,1374.08,-374.734,76.7456,,,,,,,,,,,,,,,,,,
9,0,0.0408534,-0.0409187,3.93643,1374.08,-374.735,76.7217,,,,,,,,,,,,,,,,,,
10,0,0.0385782,-0.0359863,3.9365,1374.08,-374.718,76.7594,,,,,,,,,,,,,,,,,,
11,0,0.0408062,-0.0409077,3.9365,1374.07,-374.711,76.716,,,,,,,,,,,,,,,,,,
12,0,0.0398922,-0.0379867,3.93671,1374.09,-374.707,76.7409,,,,,,,,,,,,,,,,,,
13,0,0.0410709,-0.0415839,3.93646,1374.07,-374.706,76.7188,,,,,,,,,,,,,,,,,,
14,0,0.039976,-0.0377804,3.93666,1374.07,-374.694,76.7194,,,,,,,,,,,,,,,,,,
15,0,0.0393045,-0.0369044,3.93668,1374.06,-374.716,76.714,,,,,,,,,,,,,,,,,,
16,0,0.0414655,-0.0426039,3.9364,1374.11,-374.709,76.7403,,,,,,,,,,,,,,,,,,
17,0,0.0393406,-0.0377114,3.93655,1374.07,-374.72,76.7348,,,,,,,,,,,,,,,,,,
18,0,0.0408391,-0.0402129,3.93636,1374.09,-374.732,76.7378,,,,,,,,,,,,,,,,,,
19,0,0.0399925,-0.0383454,3.93661,1374.1,-374.714,76.7417,,,,,,,,,,,,,,,,,,
